how to conduct a workshop,learning how to conduct a workshop is important for educators business leaders scientists and other professionals a successful workshop provides participants with new skills information and a sense of accomplishment the ideal workshop also provides opportunities for participants to interact and learn actively,define the workshop objective whether you are teaching a skill delivering information or increasing awareness outline the goals of your workshop what do you want your workshop participants to learn this analysis may result in a list of specific skills you will be teaching concrete topics you will cover or simply a feeling you will inspire in your participants think carefully about what you want to accomplish and why it is important some examples of workshop objectives include learn how to write a persuasive cover letter learn how to break bad news to a patient learn 5 techniques to get a reluctant student to talk in class learn how to create an effective powerpoint presentation decide who your audience is will the workshop participants know one another or are they strangers will they come in with knowledge about your topic or will they be completely unfamiliar with it are they choosing to attend your workshop or is it a requirement for their job training answers to all of these questions will affect how you organize your workshop 1 x trustworthy source kansas university center for community health and development community based research center focused on supporting public health development and education go to source for example if your audience already knows each other you might be able to launch into group activities very quickly if they are complete strangers you might need to schedule extra time for icebreakers and introductions schedule your workshop for the morning or early afternoon these are the times when participants are most awake and alert 2 x research source you want your participants to be fully engaged and aware if you can avoid scheduling evening workshops after the workday when everyone is tired and impatient publicize your workshop pass around flyers hang up posters or contact suitable businesses to encourage workshop participation having a catchy title helps as does a brief explanation for why your workshop is important and necessary be sure to include images as well as text in your flyers to catch people s attention recruit 8 15 participants for your workshop a workshop is not the same as a large lecture you want your group to be small enough to ask all their questions practice their skills and work together but you also want your workshop to be large enough to keep things interesting ideally a workshop will have 8 15 participants 3 x trustworthy source kansas university center for community health and development community based research center focused on supporting public health development and education go to source sometimes you don t have a choice about your group size if you have a very large group find creative ways to make sure the size doesn t become overwhelming for example a group of 40 participants could be divided into 5 different break out groups of 8 participants each you could also bring in co facilitators and co presenters to handle groups that are larger than ideal prepare your participants for the workshop some workshops require that participants do work well before the workshop takes place perhaps they have to study journal articles write a short story or read one another s work if your participants have homework to do before the workshop takes place be sure that your expectations are clearly stated from the beginning be sure to set hard deadlines if your students have to submit work to the group ahead of time be clear about where and how your students should submit their work will they have to give you hard copies or will you circulate materials by email prioritize your goals for the workshop most workshops are time limited they can be as short as 30 minutes or as long as three days but no matter what you will only have a short period of time to impart your knowledge to participants 4 x trustworthy source kansas university center for community health and development community based research center focused on supporting public health development and education go to source rather than covering absolutely everything in a short amount of time think about the most important skills techniques and information you want your audience to gain prioritize those in your lesson plan prepare a variety of teaching aids adults learn in all kinds of ways visually orally through hands on practice or any combination of the above remember that you might not know your participants learning styles ahead of time so you will want to have a variety of materials prepared depending on the topic and objective of your workshop you might want to prepare paper handouts audio visual aids computer based lesson plans and role playing activities prepare paper handouts readings case studies lists of key terms and quizzes are all possible teaching aids you might wish to prepare it is best if you prepare these handouts well ahead of time that way you can catch typos or errors be sure to use a large easy to read font give each document a clear label and date so that your participants will be able to use these handouts in the future if you have lengthy readings consider precirculating these handouts to the group so that they can come in prepared if you are handing out numerous documents consider providing your participants with a folder or binder to keep their papers neat and organized if you give this workshop often enough you might even want to compile your materials into a bound book that you give to your attendees arrange your audio visual materials if you plan to present a slideshow video clips or sound clips you will have to prepare these ahead of time test them at home to make sure they are working correctly make sure that they are in a format that can be used in your workshop space it is wise to consult with your venue s a v technicians to make sure that your materials can be presented properly not all projectors are compatible with macintosh computers for example and some rooms might not have sound projection make sure that your venue can accommodate whatever technology you wish to use organize your computer based materials if your workshop participants will be expected to complete a computerized quiz or participate in an online discussion forum you will need to organize these materials ahead of time think about whether your participants will have to bring in their own personal computers or devices and notify them if so if your participants will be expected to do activities online be sure to consult with your venue s a v technician you will have to make sure that your workshop space is equipped with wireless internet and you might have to ask for the network s password in advance recruit experts speakers and assistants depending on the topic and size of your workshop you might want to bring in other team members to facilitate learning an expert can provide a live demonstration of a new medical technique a guest speaker might be able to tell a lively anecdote about why your workshop topic is important and an assistant might be able to help you manage a large group if you require help from anyone make sure that you recruit them well ahead of time the more prepared they are the better your workshop will be decide on your group activities interaction amongst a group of participants sets a workshop apart from other ways of learning brainstorm educational group activities that are suitable to your workshop s objectives keep in mind that activities can be done in pairs small groups or as a full group make sure that you include enough opportunities for every workshop participant to contribute meaningfully to your workshop some possible group activities include debates break the workshop into two groups and have each group argue for their position think pair shares ask your participants a discussion question have them think about it on their own discuss their thoughts with a partner and then share their conclusions with the full group question and answer sessions if you have a lot of information to present include your attendees in the discussion by allowing them to ask questions about the material you can answer these questions yourself or ask other workshop participants to answer them role playing activities assign participants roles to play in order to practice the new techniques they are learning brainstorming sessions ask your workshop to shout out as many ideas as they can think of write them all down on a chalkboard or whiteboard then ask your workshop to evaluate what they have come up with leave time for breaks people are more focused on tasks when they have the chance to take short breaks 5 x research source they are also more likely to remember what they have learned schedule your workshop plan to include at least one 5 minute break per hour of your workshop this will shorten your time with your participants but will make that time more valuable resist cramming actual activities can often take 10 20 more time than we estimate if you think a q and a session will last 10 minutes it might very well last 12 minutes or longer build in enough time for each major activity or topic you want to cover resist the urge to cram in as much as possible your participants will feel tired and rushed if you are worried that your workshop will end early you can always prepare a couple of optional extra activities that will reinforce learning if you have time for them great and if not no harm done secure catering workshops take a lot of work and energy help keep your participants energy levels up by providing healthy foods and beverages ideally the costs of these snacks will be covered through participant registration fees or by the organization that asked you to lead the workshop you should not have to pay for snacks out of pocket try to avoid junk foods unhealthy foods might give short bursts of energy but then will cause energy crashes very soon that will leave your participants bored and tired aim for energizing healthy snacks such as fruit vegetables hummus and whole grain breads 6 x research source arrive early leave yourself plenty of time to set up the space and get comfortable in the room you might have to meet with a v technicians caterers or your team members before your workshop begins as well give yourself as much time as you can in case you have to troubleshoot or make last minute adjustments to your workshop plan set up all equipment before participants arrive computers laptops projectors and speakers will all have to be fine tuned in advance after all you want your workshop time to be productive you do not want to spend it fiddling with technology if you can see if you can have the venue s a v technician assist you with the set up you might not be familiar with the room s technological capabilities and an expert might be able to set everything up more efficiently arrange the chairs in advance the way you arrange the chairs will depend on the size of your group the size of the room and the activities you have planned ideally the group will be small enough to sit in a circle or semi circle this will help establish rapport and facilitate conversation if everyone will need to look at the front to watch video clips or a live demo perhaps a semi circle or straight rows of seats is more appropriate distribute materials if you have notebooks or other workshop materials to hand out place them on the tables or chairs in advance to save time during the workshop make sure they are in the correct order and that they are clearly labeled other materials you might need to set up in your workshop space include snacks and beverages name tags and markers pens and pencils greet participants as they arrive arriving early allows you to set up relax and get to know participants before the start of the workshop this helps in building relationships with the participants introduce yourself and the workshop once everyone is seated you will have to orient them to your workshop be sure to tell them your name and what they should call you give a few words about why you should be considered an expert in the topic and what got you interested in it explain to your participants what the goal of the workshop is and why it is important it is also a good idea to give a rough outline of how the workshop will be run so that they can be prepared try to limit this segment to just a couple of minutes even if your topic is a serious one consider using humor to lighten the mood and get everyone comfortable with one another explain to your participants what the materials around the room are and what they should do with them for example you can ask people to fill out name tags grab a cup of coffee and make sure they have their handouts if you would rather that your participants not pull out their readings or laptops right away you can tell them when those materials will be needed begin icebreakers ask your participants to introduce themselves limit the introductions to a few sentences by asking everyone to answer two or three specific questions such as their names and what they hope to gain from the workshop you don t want the icebreakers to go on forever but it is important that your attendees feel comfortable talking in front of the group you can also ask everybody to break the ice by answering a light hearted question like what is your favorite movie or what is your favorite bad song execute your lesson plan this is when all of your careful preparations can be put into action have your outline in front of you and try to stick to the outline if you can feel free to tell your participants directly what you are doing and why your lesson plan doesn t have to be a surprise and your participants might appreciate being told why you ve organized the workshop in the way that you did for example you might tell them first we are going to go over our case studies to make sure we understand their nuances after that we will divide into small groups to determine an ideal solution to the problem we re going to spend some time learning key terms that will be useful to you as you learn this new computer program after i explain these terms we ll take a quiz to make sure we are on the same page after that we will open things up for discussion please introduce yourself to the person sitting next to you in a few minutes you will role play a counselor student interaction with your partner be flexible it is good to have a plan for your workshop but be prepared to alter your workshop s content based on the reactions and experiences of the participants build some flex time into your lesson plan so that you can address their questions concerns and interests 7 x research source you can even provide options for activities that your workshop group can vote on this will allow you to focus on what really matters and skip over redundant or unnecessary content use interactive exercises to reinforce information always follow up the delivery of information with the reinforcement of that information through some kind of group activity interactive group work is a particularly effective method to teach problem solving techniques 8 x research source a workshop is not the same thing as a lecture and you want to honor the thoughts and opinions of your workshop participants let them teach each other at the same time that you are teaching them for example you can deliver information in short spurts and then allow participants to ask questions divide participants into groups to complete a task and ask them to report back to the entire group show a video clip and then ask pairs of participants to discuss their reactions provide advice about how to handle a difficult situation and then ask small groups of participants to role play the scenario have an expert demonstrate a technique and then ask your students to take a collaborative quiz about the technique don t talk too much you do not want to micromanage every stage of the workshop your participants might get bored or annoyed 9 x trustworthy source kansas university center for community health and development community based research center focused on supporting public health development and education go to source keep in mind that a workshop is different from a lecture or a typical meeting it is a format that thrives on interaction activity and group work 10 x trustworthy source plos one online peer reviewed open access scientific research journal go to source stick to your scheduled breaks scheduling breaks helps people assimilate the information and reflect let participants know how often they will get breaks and the lengths of the breaks this allows workshop attendees to plan accordingly for restroom usage phone calls and other personal needs do not skip breaks even if you are running short on time switch up activities every 20 30 minutes attention spans begin to wane after 20 minutes of the same activity view this fact as an opportunity for creativity instead of as a problem change up your activities ask your participants to rearrange their chairs or schedule a break at least once every 20 30 minutes to keep everyone engaged and motivated 11 x trustworthy source kansas university center for community health and development community based research center focused on supporting public health development and education go to source lighten the mood even if you are treating a serious topic humor can be a great way to emphasize information and keep everyone attentive 12 x trustworthy source kansas university center for community health and development community based research center focused on supporting public health development and education go to source think about ways that you can introduce humor in a responsible ethical way into your presentations discussions and activities this will also encourage your participants to remain relaxed alert and comfortable maintain a respectful democratic atmosphere make sure that all of your workshop participants are treated equally and respectfully this means that any leadership roles such as group discussion leader should be distributed evenly across the workshop encourage quiet shy participants to speak you want everyone to feel heard and respected similarly you do not want a single participant s voice or your own voice for that matter to dominate the discussion be prepared for the unexpected most workshops will run smoothly after all the participants presumably want to be there and want to learn however there might be scenarios where somebody is unwilling to participate or might be insulting to a colleague be professional no matter what and encourage respectful behavior by modeling respectful behavior 13 x research source be clear in what you expect from your participants if you have a participant who is acting up or trying to bully a colleague consider speaking privately with that person emphasize the importance of what you are teaching and tell them that you expect adult professional behavior from them conclude the workshop with a summary of what they have learned explain everything that your participants have learned over the course of the session this will help emphasize how far they have come and what new skills they have acquired refer explicitly to the objectives you laid out at the beginning of the workshop and explain how you think the participants have met those objectives congratulate your workshop for their hard work and for their new knowledge get feedback immediately after the session design an evaluation form that your participants can fill out in the last few minutes of the workshop be sure that you leave them with enough time to comment and consider your questions carefully immediate feedback not only will help you improve your workshop but will also help reinforce the learning your participants have undertaken 14 x trustworthy source plos one online peer reviewed open access scientific research journal go to source good questions to ask include what is the stated objective of this workshop did the workshop meet its stated objective what activities helped your learning the most the least was the workshop an appropriate length what workshop materials handouts readings quizzes etc were the most useful which ones were the least useful how have you learned or grown from this workshop how do you think your colleagues have learned or grown how would you change this workshop in the future any suggestions for improvements are there any topics that you would like to take a workshop on follow up with the participants a few days or weeks later ask workshop attendees if you may contact them in the future for their input some people need time to reflect back on their workshop experiences following up with workshop participants several days or weeks later might reveal new insights you can ask additional questions such as how well have you retained the information you learned in the workshop do you still find yourself thinking about the workshop how has the workshop helped you at work were there ways it could have helped you more what materials have you found useful since the workshop what materials have you thrown away or forgotten about schedule a follow up workshop if necessary if enough participants are interested in more advanced versions of your workshop consider scheduling a part 2 in the follow up workshop you can address more of their questions dig more deeply into the topic or engage in more advanced versions of the techniques taught in part 1 be sure that your follow up workshop is not too repetitive and that it is suitable for more advanced attendees,Education-and-Communications
how to attend ted talks,attending a ted technology entertainment and design conference can be a potentially life changing event as you will be able to listen share and interact with great thinkers from all over the world in a variety of fields if you have us 5 000 budget and want to experience a large event you can send in a written application to attend a ted conference if you are more budget conscious and prefer a local experience you can get tickets to a tedx event in your area whichever type you choose you can have a full ted talk experience in just a few steps and find out first hand what all the fuss is about,sign up for a ted com profile to apply to attend a ted talk conference you will need to first create a ted com profile on their website https auth ted com users new you will need to provide your first and last name your email and a password for your account 1 x research source select the ted talk you wish to attend ted releases a list of upcoming talks on their website https www ted com attend conferences ted conference read the description of each ted talk and choose one that feels relevant to your interests and goals ted talks tend to fill up several months in advance so consider picking a talk that is several months away you can then apply early and increase your chances of landing a spot on the attendance list choose your membership option ted offers four levels of membership for attendees vanguard standard donor and patron if you have never attended a ted talk conference you should choose the vanguard option as it is made for first time attendees it is also the most affordable of the four options in terms of price at us 5 000 2 x research source the other three options go up in price and perks ranging from 10 000 250 000 usd set aside at least 2 hours for the application the application consists of 6 short essay questions that you will need to answer in detail focusing on the application for 2 hours will ensure you put enough thought and effort into each question you will need to provide a bio as well as answer questions about your goals accomplishments and professional work 3 x research source you may break up the application working on it a little at a time as you save and return to your application through your ted com account discuss 1 3 professional goals tell the reviewers what you hope to achieve professionally in your career listing your short term and long term goals keep the goals specific and relevant to your professional work 4 x research source for example you may note short term goals like building an app that tracks the effects of human activity on ocean coral and long term goals like connecting human activity with human responsibility for the ocean list at least 1 3 professional awards and accomplishments include any grants fellowships and other recognition you ve received in your field this will show the reviewers that you are ambitious and engaged in your work you can also note any fellowships or grants that you hope to receive in the near future to help you achieve your goals 5 x research source for example you may write as the lead of my research team i received a 15 000 usd grant to fund work on ocean sustainability in local communities explain how you will contribute to the ted community tell the reviewers what you can bring to the ted talk as an audience member explain how the theme of the ted talk you are applying for relates to your professional work and interests this will show the reviewer that you will be a valuable participant at the talk 6 x research source for example you may write my work on an app about ocean sustainability relates to several aspects of the upcoming ted talk the future you combining activism science and social media engagement in a unique way include links to your social media accounts if you have facebook twitter and instagram include your social media handles for these accounts in your application make sure your social media accounts paint a positive engaged picture of your professional work as the reviewers will likely look at these accounts closely 7 x research source you may go through your social media accounts before you submit your application to ensure they are a good representation of your professional work interests and goals provide a personable interesting bio a key section of the application is your biography where you introduce yourself and provide details about your background your interests and your work avoid simply copy and pasting an existing bio on your website or your social media pages make your bio personable and detailed so you stand out using a professional friendly tone your bio should be at least 200 500 words 8 x research source for example rather than write my name is jane flowers and i am a microbiologist you may write as a microbiologist studying the impact of human activity on the ocean i am all about examining the hidden details the creatures of the deep list 2 3 professional references who can speak to your goals and interests use references that you worked directly with or for in your field such as a professor a peer a boss or a mentor avoid using family members or a spouse as a reference as this may not come across as very professional 9 x research source if you have a reference who has attended a ted talk conference in the past or is affiliated in some way to ted make sure you mention them in your application you will be prompted to list the names and contact information of your references in the application submit your application online it is free to apply to attend a ted talk conference 10 x research source search for a tedx event in your area tedx events are put on by local organizations that partner with ted to create ted talk like events and discussions look for a tedx event using the search tool on ted com https www ted com tedx events explore events by location date and whether there are spaces available look for an event that seems interesting and relevant to your work make sure the event is being held at a local venue on a date that fits your schedule so you do not have to travel to attend buy tickets for the tedx event on ted com tickets for tedx events can be purchased individually through ted com as you do not need to send in an application to attend at tedx event the tickets will be significantly cheaper than a ted talk conference range in price from 75 100 usd depending on the event look for tickets a few weeks or months before the event to increase your chances of getting them some tedx events can sell out quickly or have limited seating get tickets online through tedx partners if you cannot find them on ted com do an online search for the tedx event as organizations that partner with ted usually sell tickets for the event on their website some organizations will also offer tickets through their social media accounts to their followers budget for the admission fee for the ted talk if your application is accepted for a ted talk conference you will need to pay the admission fee for attending the talk the cost of attending depends on the membership type you selected when you applied the base cost for attending a ted talk is us 5 000 ted offers reduced ticket prices for young innovators through their ted fellows program you can apply for this program here https www ted com about programs initiatives ted fellows program factor in the cost of travel and accommodations to the ted talk conference if you are attending a ted talk conference you will need to arrange your travel and accommodations as they are usually held for several days in locations in north america and europe look for flight deals online and go for cheaper accommodations like airbnb vrbo or a budget hotel tedx events are local and usually only last several hours so you may not need to worry about extra costs like travel and accommodations you will still need to factor in the cost of the ticket for the tedx talk pick 3 4 people on the guest list you d like to meet as an attendee you will receive a list of the speakers and other attendees at the talk go through the list of attendees and research them online to get a sense of their work and interests identify 3 4 people that you would like to connect with so you can network at the talk read up on these 3 4 people so you have talking points and conversation starters for when you meet them at the talk 11 x research source the tedx event and ted talk conference usually have meet and greet times before and after the speakers at the event so you can get to know other attendees and the speakers you can also reach out to other attendees and speakers before you attend the talk especially if they work in the same or similar field as you look for attendees that are based close to where you are and contact them so you can meet before the talk as prep for the event participate in the q a for the ted talk speakers stand out of the sea of attendees by asking a thoughtful question or two during the q a portion of the ted talk this will show the speakers and other attendees that you did your homework and are willing to engage with the talk 12 x research source you may need to do research on the speakers beforehand and talk notes during their talk to prepare your questions take advantage of the extra activities at the ted talk ted talks are more than just speakers there are also off site events meet up and networking events and more casual talks vendors and organizations will also have products and innovations on display that you can look at and experience be sure to take advantage of all the different activities and add ons at the conference so you get the full ted talk experience 13 x research source,Education-and-Communications
how to impart stem education to your children,when it comes to technological innovation the united states remains number one yet among 15 year olds worldwide the us ranks 29th in math literacy falling behind finland croatia the czech republic and liechtenstein 1 x research source this means that the us delivers a less than excellent education in science technology engineering and mathematics stem education due to the declining quality of public primary and secondary education as well as an overall lack of financial and societal support only 10 percent of children s tv characters are scientists or engineers 2 x research source fewer young american students are showing an interest in stem education given that so many us students have shied away from stem studies american industry has been forced to continue its practice of outsourcing overseas this business strategy will not change unless a sufficient number of american students pursue college and graduate degrees in the sciences as of late there has been renewed attention to stem education as well initiatives and funding from the white house on its behalf to contribute to this new momentum parents and caregivers can play a significant role in exciting their children about stem education and its professional possibilities what are the steps in taking this proactive approach this article will help you to get your children more involved in stem education and loving it too font 1 note while this article relates in particular to the us situation the need to boost stem education is similar in many anglo countries and the methods outlined here are of great benefit to children in these countries too,discover your child s natural affinity and academic aptitude every child s constitution is different and even though the theory of neuroplasticity tells us that the human brain can adapt to almost anything some children are able to learn about the sciences more easily than others since it s clear that different forms of knowledge exercise different parts of the brain some students will probably require a little more time and effort than others to learn the same academic subject as a parent or caregiver it is most important to understand the strengths and weaknesses of your child support him or her through the process and to try to alleviate unnecessary stress provide an environment that will instill a healthy balance among your child s iq intelligence quotient eq emotional quotient and pq physical and physiological quotient fundamental for your child is the pq a child will not be able to learn if he or she is hungry tired or indisposed eq also plays a very important role in a child s academic success if a child feels emotionally deprived he or she will not be able to learn iq blooms only when pq and eq are supported to be their best teach children about the ways in which science and technology add value to the quality of human lives if children understand all of the wonderful things technology has done and can do for example the cell phone the internet video games cures for diseases for example then they are much more likely to get excited about what they can achieve by pursuing an education in science and technology make sure children can relate to the examples you pick talk about curing illnesses rather than relating technological progress to something like cancer stem cell research young children will not understand highly technical language if you can base your discussion of scientific progress in a story about someone or something a child is already familiar with such as a family member or friend who has been ill your message will be much more effective create a science and technology environment outside of school this can be accomplished in many ways view science and technology tv channels with your child engage in discussions about what you viewed afterward try an experiment that you saw demonstrated on tv or in a video part of the fun can be gathering the items needed to perform it as well as setting up the experimental lab conduct internet searches on performing fun experiments there are many sites dedicated to science projects for kids make home experiments fun occasions organize groups of kids to participate at your home in your backyard garage or another safe place join or organize science and technology s t related groups on social networks like facebook and linkedin in order to brainstorm with other parents and caregivers you might even be in contact with teachers in s t through these online communities find or start a supplementary school like the saturday math school in a boston suburb established by russian immigrants 3 x research source become a member of the local science museum and keep a watch on activities for kids incorporate regular visits into your family s activities use building blocks puzzles and games for family activities leave these in obvious places so that kids pick them up play with them and view them as part of their everyday surroundings most importantly engage in conversation about science related topics with children in way that pertains to everyday life experiences bring science and technology closer to life by pointing out its daily applications help children understand how science and technology have led to such things as running water electricity and cars create a before and after scenario in order for your child to realize that people did not always have running water electricity or cars by explaining the history of technology your child will begin to comprehend that technology is related to progress and serves a very important purpose in day to day living on a regular basis conduct a task analysis in relation to metacognition standards this way you can help teachers correctly evaluate the cognitive abilities of your child and match the mode of instruction to his or her skill level explain that science and technology can lead to fame and monetary gain appeal to children s fantasies and tempt them provide examples of great scientists and achievers you can easily find examples by conducting an online search consider making a home project out of researching the lives of famous scientists and innovators show your child how to find age appropriate resources on the web or in books and magazines to find interesting facts have him or her report back with findings work with your child to create a poster powerpoint video or interactive presentation why not use technological media to display knowledge about science and technology teach critical inquiry skills to your child in the early stages of his or her life start by demonstrating how to observe ask questions create hypotheses and test those hypotheses inquiry is the basis of science math and technological activity when one is interested in how something works inquires into it and then makes discoveries the desire to learn more ignites curiosity leading to inquiry provides the best foundation for perpetual self improvement through study and experimentation encourage children to ask questions try not to brush aside their queries even if they don t make sense or are not good questions turn the bad question into an interesting and relevant question and then engage in discussion you don t necessarily need to know all of the answers an important part of the process is helping your children learn how to find answers themselves through your guidance,Education-and-Communications
how to make an open educational resource,open educational resource oer is something for teaching or learning from that has been created to share freely online it could be a lesson a quiz a whole project or anything else that helps stimulate learning or inspire teaching getting started on making an oer can feel like a daunting task but it needn t feel this way reusable simple and desirable oer can be produced in just a few hours based on your existing knowledge and know how the suggested approach here provides a foundation for a small oer approximately 4 hours of activities but is designed to scale the longer you allow it to develop and the more ingredients you put in the bigger the resource can become,crack open your idea and mix in the creativity you ll be coming to this development with an idea it could be anything take that idea and flip it on its head think to yourself this idea would never work as an x then challenge yourself and make it work or take a random idea generator examples are explored below in part 3 the step commencing with immerse yourself think whether your activity could be inspired by something in that resource alternatively look around you and find a random item e g a spoon and apply it to the learning activity you have in mind e g cultural analysis and comparison through the use of a culture s cutlery or poetry about common objects displayed in their shape to make interesting art works choose a suitable platform when making an oer you need to think not only about the suitability of the delivery platform for the initial intended content use but also its suitability for future re use delivery needs to be open freely accessible no password protection and ideally editable at the very least able to be copied you do not need to always make a new website you could develop and upload a text based document create a bank of new images in an existing space edit an existing space like a wiki create a closed resource but share how you made it openly through social media or you could develop a new webpage these are just a few examples give yourself plenty of time good learning resources often take a lot of time to develop through reflection and sourcing content this is especially true with oers as finding open content or authoring your own images and text etc can take a lot of time that said it s well worth the effort often you will find yourself stumbling upon something new and unexpected through your development journey in turn this may inspire you to decide to completely change what you initially had in mind no worries just run with it the time you had spent up to then was not wasted it helped you achieve your new and exciting plan do not fear the not yet tried things can seem scary then you put flowers in it be prepared to take risks and try something new you have nothing to lose but a lot to gain from giving a new idea a go immerse yourself learning resources are everywhere and so are ideas for new ones jump in at the deep end and fully immerse yourself in different spaces and resources for inspiration and potentially sourcing content check out the following ideas blogs mailing lists stumble upon websites moocs oer and cc content banks and search engines online articles social media etc often the first jump is the hardest then it s a lot of fun recycle repurpose reuse do not feel like you have to make everything from scratch there are loads of great ideas and resources out there available for use in a new context it is important to note that content can be used in various ways if forming part of the core activity open access content can be pulled out and reused directly partially or simply be inspiring there is also the opportunity to use or sign post to other non cc content providing you have obtained the author s direct permission to use it in this context and there is no harm in asking however should the content be supplementary to the core activity for example you might also like to look at this link the sign posted content is not necessarily required to hold a cc license too however should high volumes of traffic be expected such as for use in a mooc it is polite and thoughtful to give the author a heads up as it could be sitting on a personally hosted server be careful what you open not everything on the internet is an open resource just because it appears open does not mean there is an open license to use it this is particularly true for images where the image may be found in multiple places with different licenses available it is important to try to find the original image or at least show that you made every effort to find it rather than simply choosing the version with the most open attribution if in doubt try a different image start from a position of open using creative commons search engines to source images where you do not hold the license personally makes the development of open content easier although do double check the licenses just to be sure keep an eye on the particular license of the content for example share alike which stipulates you must use the exact same license for the final work the resource is incorporated into more information available in the video remember attribution attribution attribution if someone has taken the time to create a n open resource acknowledge their effort through attribution even if it is not a requirement of the license it is a good habit to develop and a nice way to say thank you it also makes it easier for others to use the resource after you assemble the layers of your oer so you ve immersed yourself in exciting resources you ve been inspired you have a list of content to use now all you ve go to do is link it back to your vision for the learning activity applying all the steps and insight previously gained again leave yourself plenty of time set your newly created oer free and open don t forget to apply an open license to what you produce creativecommons org helps you build a suitable cc license for your content which can be embedded into your resource in lots of different forms displaying an open license badge signifies to other users that your content is part of a growing community of open practice and resources lovely,Education-and-Communications
