how to merge two households,merging two households takes a lot of work but with careful planning you can make the job easy and even fun first do a purge and give away everything you don t really use figure out what items you really must keep and create a new fresh space with a combination of everyone s most treasured items finally merging two households can involve running things a little differently to coexist well with the people you ll be sharing a home with,discuss your expectations before you begin merging two households might seem like a relatively straightforward task a question of fitting lives and possessions together in the same space like puzzle pieces the process can actually get pretty intense since it might require giving up some treasures adapting your lifestyle to fit with someone else s is a learning process that requires a lot of compromise before you start the merge have a conversation with the person you re moving in with to go over all the big decisions and prevent things from getting too emotional or tense talk about what vision you have for the new household how will the new home look will each room have a combination of both of your possessions talk about the possessions you both cherish is there something you assume your partner will give up is there something you really don t want to give up get it all out there right away purge your closets and storage rooms whether you re moving to a brand new home or someone else is moving into yours you re probably going to need all the space you can get set aside time to pull everything out of your closets and storage areas and all those nooks and crannies where you might be stashing stuff you don t use too often figure out what you need and what you don t and make a plan to get rid of the possessions you don t need right away so you can move on to the next step make three piles keep give away and not sure you can go back to the not sure pile if you end up having more space than you thought you would take a look at your items and think about how often you use them a good rule of thumb is to get rid of anything you haven t used in over a year having a yard sale is a great way to get rid of unwanted possessions and make some money in the process make sure to list your yard sale on craigslist so people know you re having it yard sales are most popular in the spring summer and fall when the weather s nice what you don t sell you can donate remember it is much easier to get rid of things before you pack and move your merge will be easier if you make the decisions before you start squeezing in items that don t work get rid of duplicates one of the most difficult parts of merging two households is deciding which possession to keep when you and the person you re moving in with both have something depending on how much space you have you ll probably have to give away some large pieces of furniture as well as smaller items like kitchen supplies who needs two toaster ovens sit down together and make a list of all the duplicates the decide which items are in the best condition and worth keeping here are a few items that you might need to consider furniture beds dressers side tables couches kitchen tables chairs etc appliances blenders toasters washers dryers coffee makers etc kitchen supplies can openers wine openers pots pans baking supplies etc extra linens sheets towels etc list your must haves some items have strong sentimental value and no matter how little sense it makes to keep them you simply must have them around get together with your partner and make a list of your must haves if some of your must haves are large items that will require a lot of space have a conversation about where they will go and whether it really makes sense to keep them make sure your list isn t three pages longer than your partner s you each get equal say when it comes to must haves this is an exercise in compromise limit your must haves to things you do actually need then go back and see which wants will fit in the new space too account for clothes and personal items consider where you will store these since you ll have less space in your merged household you and your partner will both need a plan for where you will keep these things you may be used to free rein with closet space before the merge now you may need to rotate seasonal items and store some items that aren t used so everyone has space consider boxing up or using vacuum compaction bags to store things you don t wear often organize your files and records determine what is safe to shred if you have multiple years of financial records get rid of or store any items you don t want to become common property since you re living together you can t expect the same privacy and the ability to keep certain items secret if you ve got anything embarrassing you should think twice before taking it draw a floor plan this might seem like a bit of a hassle but it will make your life a lot easier when you start moving into the new place or when someone else is moving into yours a floor plan is a drawing or illustrations of the floor space of each room in your house as viewed from above your drawing doesn t have to be a work of art just create a to scale sketch of each room include doors windows and radiators if present so you know where furniture can be positioned measure the rooms in your new space write the measurements of the different rooms along the edges of the sketched walls this way you can figure out what will fit where 1 x research source include the windows doors cabinets the kitchen island and other features that might affect how you arrange furniture in the room take pictures as well so you ll remember the little details that could help you decide where to put things decide where the large furniture will go before you even pack it up and start moving it determine where you want each piece of furniture to be positioned that way you can put it where it s supposed to go as soon as you move it into the house rather than grouping everything in the front room and trying to figure out where it should go measure the furniture to determine where it will fit check your drawing of the floor plan and visualize how each piece of furniture will look keep swatches cut from the underneath of couches chairs and upholstered pieces it will be easier to tell if items match or not before having to move them think about furniture pieces individually instead of their current arrangement follow common decorating rules in terms to help you arrange things in a pleasing fashion for example couches should be surrounded by a little space on all sides in the bedroom your bed should be the main focus rather than shoved in a corner 2 x research source find a decorating scheme that merges your tastes whether you re moving together into a brand new space or into one of your existing homes decide on a new decorating scheme that will tie all of your possessions together into a cohesive home you might want to paint the walls install new light fixtures get new curtains and so on in order to make the space feel like it belongs to the whole family and not just one person see if it s possible for each person in the house to get some space of his or her own decide which rooms will be family rooms and aim to have them reflect the personalities of the entire household consider getting furniture recovered a good upholstery shop can not only change the fabric but they can add or remove padding to change the shape you ll have a chance to pick fabrics together and there s a better chance of finding something that ties your taste together box everything up by room now it s finally time to get ready to move by putting your possessions in boxes go through your home room by room and box things up make sure fragile items are packed with soft materials to keep them safe during transit if you re having movers help you merge your two households make sure to give them clear directions about where everything should go label the boxes by color and have the person you re moving in with do the same for example items that belong in the living room could have a purple label items for the kitchen could have a red label and so on have the boxes them delivered to the appropriate room in the new home respect each other s preferences realize that merging two households means making compromises your lifestyles are about to change but that doesn t have to be a negative thing in fact it s very exciting help each other make the transition easier by respecting each other s ideas and talking everything out if you have a conflict don t start things off on the wrong foot by being stubborn about little things that don t matter if you have three hand mixers for example have the mentality that you re willing to give yours up for the sake of the household don t fight about whether to keep heirlooms if your partner really wants to keep the table his grandfather made don t fight about it even if you think the thing is hideous if it s a family heirloom it should stay in the family be open minded about the end result the new household isn t going to be like your old one and you shouldn t expect it or want it to be you re merging your tastes with your partner s to create something new and fresh with careful planning you can create a new space that you both enjoy strive for a new and improved merged household rather than trying to replicate the old house if the person is moving into your home be willing to make big changes remember that you ll need to make mutual decisions about how to improve the space from now on get the children involved merging two households can be hard on kids if children are involved in your household merge they should be involved in the decision making merging households might make them feel nervous and it s really helpful if they feel they have a say in what their new space will be like get the kids involved in packing decorating and creating a new personal space for themselves let kids decide which toys to keep and which to give away get kids excited about the new and improved space tell them moving will be an adventure make a personalized plan that meets your needs merging households means merging lifestyles think about all the factors in both of your lives that will be affected by the merge have a plan for accommodating each other s hobbies pets and so on if you have pets where will their new hangouts be where will they sleep where will you keep their food and water dishes figure out who gets what closets and storage space before you move in so you can keep your new household organized from the get go make a plan for sharing extra spaces like a nook that can be a study craft room or reading nook depending on how you want to use it share the space and don t dictate don t make the experience regretful by being a control freak make sure everyone has their own contribution to the home one person shouldn t take over both of you should feel at home allow the person with fewer items to contribute by giving them the freedom to select decorations layout or even to decorate their own personal space for example office reading nook gym area etc,Family-Life
how to have a good family life,improving your family life can help make your family members closer and prevent conflicts from getting in the way of everyone s happiness fortunately there are lots of concrete steps you can take to make your time with your family more enjoyable and fulfilling,maintain daily and weekly family routines eat go to sleep and do regular family activities according to a predictable schedule routines and rituals help establish a family identify reduce stress and create a stable comfortable environment 1 x trustworthy source american psychological association leading scientific and professional organization of licensed psychologists go to source in addition to improving communication regular family meetings can be a major part of your family routine try to practice leaving work at work whenever possible and focus on your family when you re with them make celebrating birthdays and holidays together a family tradition you don t have to do the same thing every birthday or holiday for instance you could go to a family member s favorite restaurant or do their favorite activity on their birthday you d be sticking to a tradition but the activities would be varied 2 x trustworthy source american psychological association leading scientific and professional organization of licensed psychologists go to source have meals together as much as possible parents work and kids have after school activities so it s tough to have breakfast and dinner together every day however do your best to eat together as often as possible family meals are a key routine and can help you stay involved in each other s lives 3 x research source when someone gets home from work or practice late sit down with them while they have dinner even if you ve already eaten spending time together and having a conversation is more important than eating at the same time set aside time for regular family activities regular activities could include bike rides walks or playing cards or board games if possible dedicate at least an afternoon or evening per week for a family activity keep it low key and focus on having fun together and enjoying each other s company 4 x research source do household chores together few people actually enjoy doing chores but sharing household responsibilities can help everyone in your family take pride in your home try to make it as fun as possible such as by playing music or having contests 5 x research source for instance whoever finishes folding their laundry first might get to pick out the movie you ll watch together divide chores up into age appropriate categories after dinner your youngest could wipe the table your oldest could fill the dishwasher and you could put away leftovers respect what your family members have to say when someone expresses an opinion don t dismiss it or interrupt them before they can finish speaking maintaining open respectful communication channels will help your family develop trust and strengthen your bond 6 x research source for instance avoid making fun of your siblings whenever they express an opinion if your siblings pick on you try telling them i know that all brothers and sisters mess with each other but it hurts my feelings when you make fun of everything i say avoid harsh criticism and judgments give each other permission to express emotions and act silly without fear of criticism or judgment when people expect harsh judgment they tend to bottle things up and avoid sharing their feelings 7 x research source if you re a parent offer positive constructive criticism and try to discourage your children from harshly judging each other instead of saying no that s not how you do that say good try but let me help you do this the right way listen to your family members actively active listening is when you absorb what the other person says and convey that you re paying attention make eye contact with them nod your head and say things like i understand when appropriate just listen instead of planning on what you ll say next and don t give advice or your opinion until the other person has finished 8 x trustworthy source virginia cooperation extension publications and educational resources from virginia tech and virginia state university go to source when necessary ask for clarification say wait what do you mean by that or was this before or after you saw them at the store active listening means putting down your phone when you talk to someone try not to check your texts or social media especially if you re having a serious conversation 9 x research source express love and appreciation frequently little verbal and nonverbal gestures of affection go a long way in addition to saying i love you try to find small specific ways to show you care for each other 10 x research source using please thank you and other courtesies can set a positive tone giving your parents a hug and saying just want you to know i appreciate you makes a major impact if your sibling is doing their homework and there s an empty glass on their desk ask them hey can i get you more water avoid comparing your family to those you see on social media it can be easy to believe that because other people always look happy in their pictures and videos that they really always feel that way however it s important to keep in mind that every family has to work to keep their relationships healthy and strong if you start to envy someone else s family just remind yourself that you don t know what their life is really like and they likely have family arguments and other issues just like everyone else 11 x research source remember even if someone else s family takes more vacations or has more expensive things it doesn t mean they re any happier than you and your family are have upbeat weekly family meetings a family meeting doesn t have to be formal or focus solely on heavy topics every week turn the tv off and put away the phones and hang out with each other for an hour or so talk about the past week s ups and downs any upcoming events and just shoot the breeze with each other 12 x research source try to keep the tone light the aim is to encourage everyone to communicate freely feel comfortable and have fun with each other ask questions like what s the funniest thing that happened to you this week do your best to make sure everyone participates equally it might be difficult to get toddlers and teenagers actively engaged but just try to keep the conversation flowing balance your role as a parent with your child s need for freedom one of the key conflicts in any family is between a parent s need to keep their child safe and a child s need for freedom remain a figure of authority but give your children opportunities to earn your trust slowly increase their freedom and privileges as they mature 13 x research source for instance set a curfew when your teen goes out and if they stick to it for a few months extend it a little later try to set a positive example if you re arguing with your spouse if you and your spouse have an argument remember that the way you resolve disagreements teaches your children about conflict resolution stick to the specific issue instead of bringing up past offenses or resorting to personal attacks if necessary sort out an argument when your children aren t present 14 x research source mediate your kids fights only when necessary if possible let your kids sort out their arguments on their own set ground rules and intervene only when the rules are broken or your kids can t cool down by themselves 15 x research source ground rules include no hitting cursing or name calling tell them that they need to let the other person speak and discuss their issue calmly if a fight escalates separate your kids until they cool down then help them find a compromise tell them that your role isn t to assign blame unless one cursed at or hit the other but to help figure out the best solution communicate clearly and directly when resolving disagreements avoid being passive aggressive vague or sarcastic especially when handling a conflict say what s on your mind and encourage your family members to do the same 16 x trustworthy source virginia cooperation extension publications and educational resources from virginia tech and virginia state university go to source for example if your child didn t take out the trash don t give them the cold shoulder or vaguely convey that you re upset instead of saying it s disappointing when people forget to do their chores be direct say sam i m disappointed that you didn t take out the trash this week i m taking away your allowance if it happens again respect your parents need to protect you while children need increasing degrees of freedom as they get older remember that your parents are in charge their job is to keep you safe and give you the tools you ll need to take care of yourself when you re an adult 17 x research source if your parent doesn t allow you to go out without an adult or makes you go to bed early remember that they have your best interests in mind when your parent is open to negotiating something like a curfew talk to them in a mature manner make your case calmly and clearly and don t whine or yell to get your way if they say no find ways to compromise if you re fighting with a sibling try to avoid blaming or shaming the other person and say time out let s think of a way we can come to an agreement about this keep your cool and find ways you could share a toy or play together 18 x research source if you can t come up with a fair solution on your own ask a parent for help try to see things from your family member s point of view before jumping to conclusions take a deep breath and try to stay calm if someone ate your favorite snack or stole your clothes try to see things from their perspective before getting angry 19 x research source for instance if your sibling stole something that belongs to you such as a jacket makeup or a watch say to yourself i really don t think they did this to spite me they probably just want to wear this to school and look cool tell them i know you really like my leather jacket i understand that it makes you feel cool but it belongs to me and you can t just take something without asking avoid getting involved if your parents are arguing when your parents have an argument just let them work it out on their own don t try to be the referee or otherwise get involved go to another part of the house listen to music or find something else to do until they stop arguing 20 x research source if the argument goes too far and becomes physical talk to another family member school counselor or other trusted adult,Family-Life
how to cope with a dysfunctional family,it is never easy to cope with a dysfunctional family family dysfunction can drain your emotional and physical energy family get togethers may be very difficult and managing conflict may feel impossible to cope learn to set boundaries and avoid subjects that cause disagreement limit contact with family members that cause problems and learn to put yourself first remember your emotional needs and well being should be valued when coping with a dysfunctional family know and stand up for your own rights,keep your expectations realistic dysfunctional families may be resistant to change when going into a family situation work on keeping your expectations in check if you accept that some conflict and difficulty is inevitable you may be less frustrated by disagreement 1 x research source know your most difficult family members limit the amount of time you spend with these people if your mother for instance tends to be the cause of drama keep your distance do not expect a dramatic change breaking free of a cycle of dysfunction is difficult if it does happen it will take time go into the event knowing it will likely be difficult at the same time do be open to the possibility that it might be okay don t foreshadow events by deciding that they will be terrible hope for the best prepare for the worst take someone with you to family events having a buffer can help you cope ask a friend or romantic partner to accompany you to support you emotionally during family functions 2 x research source your family may be on better behavior in the presence of an outsider is there anyone you could invite maybe a friend of yours does not have christmas plans see if they want to join your family s festivities give your buffer a fair warning however let them know your family can be difficult at times limit alcohol alcohol tends to fuel emotion if your family is difficult by nature too much alcohol could lead to an increase in conflict 3 x research source there may be problem drinkers in your family if this is the case it s a good idea to call family members and request an alcohol free get together try to provide other beverages like sparkling cider instead of alcohol some family members may be uninterested in attending an event without alcohol these people will likely not show up or leave early limiting alcohol can be a great way to keep the more difficult family members away steer the conversation away from conflict if your family fights you can take it upon yourself to limit argument it s frustrating when it s up to you to make sure people get along but sometimes it s inevitable listen to various conversations and work on changing the topic when necessary 4 x research source by now you likely know the topics that trigger drama in your family for instance maybe your uncle john is chronically unemployed due to his drinking he tends to become very sensitive when the topic is raised when you hear the problem topic arising act fast for example maybe your dad says something like john have you applied to any jobs lately it s been what 6 months jump in right away and steer the conversation out of the danger zone you can try to play a game like 20 questions or simply change the subject for example dad actually sarah just applied to a job at a bookstore she s really excited about it it can be helpful to go into the event with a list of safe topics that you think everyone will enjoy maybe jot these down in your phone in case you panic and forget have an escape route at times it s appropriate to walk away if someone is getting hostile or difficult know an excuse you can use to dodge an interaction 5 x research source think of various ways to slip out for a minute you could for example offer to help out in the kitchen or run to the store to get something if you want to leave early think of an excuse you could say you re watching a friend s pet and need to check in on it for example it can be helpful to lay the groundwork for this early say on the front end that you can only stay until whatever determined time and that way people are not offended when you leave let go of some conflicts you do not have control over other people s lives and decisions even if you want a family member to change you cannot do it for them try to avoid becoming emotionally invested in long standing conflicts over which you have little power 6 x research source for instance maybe your mother is always very critical of you and your siblings as a result none of you have much contact with her at family events she continues to be critical and push people away you may wish your mother was different you may want a better relationship with her however keep in mind it s her responsibility to change if she continues to be resistant to altering her behavior there is little you can do for her try your best to emotionally disengage also remember that family events may just not be the right time to address these conflicts know that you can revisit these issues at a later time if you feel it s important that way holidays are not ruined by fighting recognize your own emotional needs you have a right to feel respected and safe in your relationships no one should violate this right the first step to asserting yourself is identifying what you need 7 x research source everyone deserves respect and that includes you you have a right to be around people who bring you up rather than down in a dysfunctional family your thoughts may be skewed you may question whether you deserve respect remind yourself you do think about what behaviors are and are not acceptable for example maybe your father continually criticizing your career choice is not acceptable to you you re proud of what you do regardless of what your father thinks it s well within your rights to assert as much be firm about boundaries in the moment let someone know when they ve crossed a line you do not have to be aggressive or mean you can be respectful while simultaneously making it clear where the line is 8 x research source for example shopping with your mother is always a headache she s very critical of your appearance and tends to scrutinize the clothing you like however she continues to push you to go shopping with her your mother has asked you repeatedly to go shopping this weekend after the third or fourth time she asks state your boundaries clearly say something like mom i love the time we spend together but i think we stress each other out when we go shopping together if you want to get lunch or see a movie some time great but i m not interested in going shopping with you anymore after establishing your boundaries it can be helpful to change the subject this signals to the other party that the boundaries are not up for debate and also suggests that you are not angry with them ask about a mutual friend or if they ve seen any good movies recently use i statements when you assert yourself i statements are statements phrased in a way to reduce blame instead of placing an objective judgment on a situation you emphasize your personal feelings they have 3 parts they begin with i feel after which you immediately state your feelings from there you explain the behavior that led to that feeling lastly you say why you felt the way you did 9 x research source for example you re frustrated that your father has again insulted your girlfriend in front of you you may be inclined to say something like it s incredibly rude to make comments on noel s weight that s completely disrespectful to me and to her this can be rephrased using an i statement say something like i feel disrespected when you make comments on noel s weight because that s an issue she s very sensitive to and i ve explained this to you before lead by example show genuine compassion and concern for your family check in with them regularly and invest in them as people do not let their bad behavior dictate your treatment of them the 2 should exist separately from each other for instance don t respond to a rude family member by being rude in return or by just writing them off try to respond to them with compassion and understanding going tit for tat isn t going to improve the situation walk away when necessary despite your best efforts to assert your needs some people are just very difficult if your family is not responding to your attempts to assert yourself it s okay to leave some situations 10 x research source for example your father is relentless when you tell him to stop disrespecting your girlfriend instead of apologizing he responds you re being hypersensitive i just care about her health you can tell from his tone he s getting hostile it may not be worth it to push the issue at this point your father is getting angry even as you try to respectfully address the situation he s trying to force an argument at this point just walk away say something like this isn t getting us anywhere i m going to go for a walk okay then give yourself some time to cool down see a therapist it s very hard to deal with the emotional toll of a dysfunctional family alone a qualified therapist can help you deal with the damage done by familial dysfunction seek out a therapist in your area to work out your issues 11 x research source you can ask your regular doctor for a referral to a therapist you can also ask your insurance provider to help you find a therapist in your area if you are a student you may be entitled to free counseling from your college or university allow yourself to feel angry many people feel they must forgive or let go of bad behavior if your family has been unfair to you it s okay to feel anger it s actually healthy to allow yourself to experience anger when you ve been disrespected or mistreated 12 x research source forgiveness can be the last step in recovery however it is rarely healthy to forgive first you need to put the blame on those causing the problems do not expect yourself to fix problems via forgiveness find productive ways to vent anger talk to close friends or go to support groups you can also write a letter to difficult family members and then burn it work on expressing your emotions if you come from a dysfunctional family you may have difficulty expressing your emotions work on ways to express yourself in a healthy and productive fashion if you re seeing a therapist it may be valuable to talk this over with them 13 x research source stop to identify your emotions several times a day growing up in a dysfunctional family you may have learned to repress or ignore your emotions try to take time to notice what you are feeling also what caused the feeling what are you responding to you can try keeping a journal in which you record your daily feelings you can cope with your emotions by sharing them with others work on finding people who are supportive you should only share your emotions with people who respond with kindness and affirmation learn to trust others this can be one of the hardest parts of coping with a dysfunctional family it may be difficult to trust if you come from a difficult home life start by taking small risks and then build from there 14 x research source practice seeking out the support of healthy people get to know people who are kind and positive building a family of quality friends is extremely important in maintaining self esteem and helping someone cope with family dysfunction you may have difficulty telling others how you re feeling work on getting over this hurdle start by occasionally expressing small needs and wants to those around you you can begin expressing greater needs and wants over time take good care of yourself you may neglect your own self care if you come from a dysfunctional home if you spent a lot of time coping with conflict you may put your own health and well being aside work on practicing basic self care this alone can help you better regulate your emotions 15 x research source you need to do things for yourself make sure you eat healthy meals get exercise and take care of basic hygiene you should also treat yourself on occasion if you need to take a day off take one indulge in small pleasures like going to see a movie having coffee with a friend or ordering takeout after a long day,Family-Life
how to deal with a bipolar family member,having a family member with bipolar disorder can be a challenge and takes patience and compassion in coping with a family member s bipolar disorder it is important to support your family member take care of yourself physically and emotionally and educate yourself about bipolar disorder,understand that some of your family member s behaviors are linked to the disorder for example a person who is chattering on about themselves selfishly or bragging is normally recognized as arrogant or self centered this behavior in a person with bipolar disorder is a sign of mania as are other risky behaviors that may be equally unappealing to you recognizing that this is a symptom of the illness and not an intentional behavior by your family member is helpful in understanding their condition however be cautious not to associate every mood your family member has with their illness people with bipolar disorder can be mad or sad in healthy ways too one way you can understand your family member s illness better and show support is to simply ask about their experience of it make sure however that you use discretion and identify if they feel comfortable talking with you about it before you attempt to engage them if this is too threatening you could simply ask how they are doing and gain more information about what they are currently going through support your family member in their mental health treatment since bipolar disorder is best treated with medication and therapy it is crucial to be supportive of your family member engaging in treatment one way to become involved is to participate in your loved one s psychotherapy family therapy can be a helpful resource in supporting an individual with bipolar disorder communicate with your family member s mental health care provider if your loved one has signed a release for you to speak with their therapist or doctor you can notify that person about possible concerns or problems as they arise you can also gain more information on how to assist your family member if your family member is not currently receiving mental health treatment you can encourage or help them to seek treatment psychologytoday com 1 x research source and the american psychological association apa 2 x trustworthy source american psychological association leading scientific and professional organization of licensed psychologists go to source are both helpful resources you can search for therapists or psychiatrists in your area who specialize in bipolar disorder however be careful not to push treatment on your family member if they are reluctant unless they are potentially harmful to herself or others this can scare them off and disrupt your relationship help monitor medication compliance it is common for individuals with bipolar disorder to avoid taking their medication since the high of mania can feel good to them if you notice that your family member has gone off their medication the first step would be to notify their psychiatrist or general practitioner as soon as possible most likely the doctor will want to speak with your loved one and will inform you of how to proceed if you are not able to speak with a doctor you can encourage your loved one to take their medications or provide incentives such as special treats or doing something with them that they enjoy if they agree to be med compliant adhere to a medication regime do keep in mind that adherence to a medication regiment is not necessarily just a simple straightforward matter of choosing whether or not to take a pill medications commonly used to treat bipolar disorder frequently cause substantial adverse effects such as forgetfulness sleepiness gastrointestinal symptoms excessive sweating substantial weight gain hair loss skin rashes sexual problems and other unpleasant and distressing symptoms if someone you care about has stopped their medication or expresses the desire to discontinue medication it may be helpful to inquire as to what their reasons are they may well have compelling reasons beyond merely i m feeling better and i don t need it others may claim that they enjoy the high of hypomania and don t want to take medication that will end their feeling of euphoria 3 x research source adverse effects are most commonly experienced when starting a new medication or increasing the dose however they may occur at any time in treatment and may be a cause of substantial distress or discomfort to the individual if your loved one is not adhering to their medication regimen because of adverse effects do encourage them to talk with their doctor to determine whether a change in strength or timing of dose or an alternative medication might alleviate or minimize the problem to a tolerable level assist during a manic or hypomanic episode if you notice signs that your family member may be experiencing an episode it is crucial to engage them in harm reduction negotiate to reduce harm during risky behaviors gambling excessive spending drug abuse reckless driving keep children disabled people and other vulnerable people away so that the antics do not disturb them speaking with your loved one s medical health clinician or calling an ambulance or suicide hotline if they are at risk of harming themselves or others plan for a crisis it is important to have an action plan for dealing with an emergency to effectively de escalate a crisis have contact info of important relatives who can help as well as doctor s numbers and hospital addresses do not just store this information in your phone in case it loses battery you should have these numbers written down and on you at all times such as in a wallet or purse give a copy to your family member you could even develop this plan together when your family member is emotionally stable help your family member avoid triggers a trigger is a behavior or situation that may increase the likelihood of a negative outcome in this case a manic hypomanic or depressive episode possible triggers include substances such as caffeine alcohol and other drugs 4 x research source triggers can also include negative emotions such as stress an imbalanced diet sleep irregularities sleeping too much or too little and interpersonal conflicts your loved one will have their own specific triggers you can help by discouraging your family member from engaging in these behaviors or by helping them prioritize their responsibilities to reduce stress levels criticism and critical people are common bipolar triggers if you live with your family member you could remove substances such as alcohol from the home you could also attempt to foster a relaxing environment by controlling lighting music and energy levels exercise compassion the more educated you become about bipolar disorder the more understanding and accepting you can be while it may still be a challenge to cope with this disorder in the family your concern and thoughtfulness can go a long way in supporting your family member one way to show that you care is by simply letting your family member know that you are there for them and you want to be supportive of their recovery you can also offer to listen to them if they want to talk about their illness practice empathy putting yourself in your family member s shoes is a helpful way to increase your understanding of their behavior as well as to reduce your negative emotions about or reactions to their mental health allow yourself to imagine what it would be like to wake up unaware if that day you would be plummeted into depression or elevated into a frenzied state of energy focus on your own mental health caring for a loved one with bipolar disorder can sometimes lead to stress and depressive symptoms 5 x trustworthy source pubmed central journal archive from the u s national institutes of health go to source remember that you can only begin to help someone else if you first maintain your own physical and mental health be aware of your own behaviors and your underlying feelings about your family member give up control it is important to understand and remind yourself either aloud or in your mind that you cannot control your family member s behaviors they have a condition that you cannot fix shift your attention to focusing on your own needs for example you could make a list of your own personal goals and begin working toward them use coping resources coping resources are specific ways to cope with a particular issue and they are vital to self care coping strategies can include activities you enjoy such as reading writing art music outdoor activities exercise or sports therapeutic activities can also assist self care including relaxation techniques such as progressive muscle relaxation meditation keeping a journal mindfulness and art therapy another way to cope is to create distance or remove yourself from stressful situations when they arise consider professional help if you find that you are having a difficult time coping with your family member s symptoms of bipolar disorder it may be beneficial to receive your own therapy evidence suggests that gaining family therapy not just education can help individuals especially caregivers parents deal with having a family member with bipolar disorder 6 x trustworthy source pubmed central journal archive from the u s national institutes of health go to source recognize that bipolar disorder is a biologically based condition this means it has a strong genetic component and tends to run in families therefore it is not the fault of your family member any more than it would be if hey had a medical condition bipolar disorder is not something your family member can control through will power alone 7 x research source understand the different symptoms of bipolar disorder there are two main types of bipolar disorder bipolar i disorder and bipolar ii disorder it is important to identify which type your family member has to understand their particular symptoms and behaviors bipolar i is evidenced by a person experiencing manic episodes that typically last a week or longer some symptoms of a manic episode include heightened irritable mood exaggerated self esteem decreased need for sleep increased talkativeness distractibility increase in goal directed activity and engaging in risky behaviors such as gambling or having unprotected sex with multiple partners 8 x research source bipolar ii is evidenced by at least one major depressive episode as well as a least one hypomanic episode similar to a manic episode but less severe and can last as little as four days 9 x research source understand how bipolar disorder is treated bipolar disorders are typically treated with a combination of medication and therapy psychiatrists or general practitioners often prescribe mood stabilizers such as lithium to reduce the symptoms of bipolar disorder psychologists marriage and family therapists mfts and other clinicians typically assist the individual with bipolar disorder in managing and coping with their symptoms typical types of therapies include cognitive behavioral therapy cbt family therapy and interpersonal therapy 10 x research source gain education on the typical effects of bipolar disorder on the family family members of individuals with bipolar disorder may experience burden and lack of energy additionally spouses of individuals with bipolar disorder may experience a lack of support and many do not seek help 11 x trustworthy source helpguide nonprofit organization dedicated to providing free evidence based mental health and wellness resources go to source if a family member believes that the person with bipolar has control over their illness this can lead to feelings of burden and dissatisfaction with the relationship,Family-Life
