how to replant a rose,roses are beautiful flowers that are relatively easy to replant you can transplant a rose bush to a new spot by carefully digging it up and inserting it into a new weed free garden patch to regrow roses try planting rose stem cuttings and waiting for them to grow new roots,choose a garden spot that is free of weeds and other plants roses thrive when they are separate from other plants plant your rose bush in a section of the garden with other roses or alone ideally choose a spot where the roses can permanently reside so they will not have to be transported later 1 x research source use a hand fork to dig up and pull weeds opt for a spot that gets full sunlight 2 x research source make sure your soil is well draining roses will grow best in well draining soil before planting your roses test your soil is by digging a hole that is 12 18 inches 30 46 cm wide and 12 18 inches 30 46 cm deep then fill it with water well draining soil should not take more than an hour to drain 3 x research source to improve poorly draining soil add organic matter like compost to it dig a hole at least 15 inches 38 cm deep for your rose bush use a garden trowel to dig out a new spot for your rose bush prepare a hole that is about 15 inches 38 cm deep the hole should also be at least 12 inches 30 cm wide or large enough to accommodate your rose bush 4 x research source wear gardening gloves to protect your hands as you dig build a small mound of soil in the center of the hole use a garden trowel to pile some of the soil you removed from the hole back into the center of it make a small mound that is about 1 2 inches 2 5 5 1 cm tall for the rose bush to rest on gently pat down on the soil to firm the mound 5 x research source dig around the bush carefully and remove it from the ground use a trowel or small garden shovel to gently remove soil from the perimeter of the rose bush dig down to its roots until its root ball is exposed continue digging carefully until you can easily insert the shovel underneath the plant to remove it 6 x research source you should be able to lift the plant out of the ground without yanking it adjust the size of the hole you dug out as needed after seeing the size of the root ball insert the plant in the new hole and fill it halfway with soil gently place the root ball of the rose bush on top of the mound gently refill the hole around the plant with the soil you dug up earlier stop when it is halfway full 7 x research source flood the hole with water use a watering can to flood the soil you inserted around the plant let it sit for about 5 minutes so that the soil can drain allow it to sit for longer if there is still water puddled in the hole after this time 8 x research source fill the rest of the hole with soil and water it again add more soil to fill up the ring around the plant base add about 1 inch 2 5 cm of water to the top of the soil and allow it to soak in give the plant about 1 inch 2 5 cm of water each week unless it rains heavily 9 x research source to prevent weeds apply a layer of mulch to the soil around the plant use a fertilizer specifically meant for roses after you replant your rose take cuttings in the late spring or early summer if possible the ideal time to regrow roses is during warm seasons before the intense heat sets in make cuttings in the late spring or early summer when stems are young but strong the warmth will promote fast root growth 10 x research source cuttings can also be made and replanted in the autumn but root regrowth will happen slowly and new blooms will only appear the following spring if successful cut off healthy stems about 5 8 inches 13 20 cm long use sharp pruners to make cuttings to avoid crushing the stems aim for cuttings that are between 5 8 inches 13 20 cm long make 45 degree angle cuts 11 x research source take cuttings from the top and sides of the plant mist the cuttings with water as you replant them to keep them from wilting 12 x research source the 5 8 inches 13 20 cm should not include the flower at the top sanitize your cutting tools before and after you cut the plant remove the flower from the stem use your pruners to remove the rose bloom from the rest of the stem this will allow the plant to refocus energy that was directed to the flower to grow new roots make this cut at a 45 degree angle 13 x research source keep some leaves on the stem when you replant it leaves provide sugars from photosynthesis to the rose cutting which will help it grow new roots keep 2 3 leaves on each stem located high up note that some varieties of roses will grow from leafless stems but the odds of regrowth are better with a few leaves still attached 14 x research source leaves can also provide root promoting hormones to the plant keeping more than 2 3 leaves on the stem will pull nutrients away from it hindering growth keep leaves located high on the stem so that they will not be buried under the soil when you replant it apply a synthetic hormone to the stem to promote regrowth rose cuttings naturally contain a root promoting hormone called auxin that collects at the bottom of the stems some roses may not produce adequate amounts of auxin to spur regrowth from cuttings to increase the odds of growing new roses purchase a growing hormone powder that contains synthetic auxin and dip the bottom of your rose cuttings in it before planting 15 x research source synthetic auxin can be recognized as either indolebutyric acid iba and or naphthaleneacetic acid naa purchase this mix at gardening stores or online plant rose cuttings in pots to keep indoors if the weather is cold if there is a frost the weather is not warm enough for roots to grow outdoors choose to plant your rose cutting in a pot and keep it indoors in cold temperatures as a general rule this will occur during the late autumn and winter 16 x research source pots can be placed outside in warmer weather or kept indoors use perlite vermiculite or a light potting mix as a medium in pots the potting medium you use to grow new roots should contain organic matter which holds moisture better than ordinary potting soil add the medium into a garden pot filling it 3 4 of the way water it until it is moist but not overly wet or pooling 17 x research source if you mix more than one medium use a trowel or small garden rake to mix them if you plant a rose cutting directly into the ground till organic matter directly into the top 2 3 inches 5 1 7 6 cm of the soil to improve its growing potential insert the stems and firm the soil around them gently insert the bottoms of the cuttings into the soil mix 1 2 inches 2 5 5 1 cm deep leave about 1 2 inches 2 5 5 1 cm between cuttings if you plant more than 1 in the same pot gently press down on the soil around the stems to ensure that they are supported 18 x research source if the cuttings meet too much resistance to enter into the soil easily gently poke into the mix with a pencil or pen first to create openings add some kind of tent for a humid greenhouse effect roots will grow quickly in a warm humid environment create this kind of greenhouse effect by placing something around the surface of the cuttings either over the pot or on top of the ground to trap moisture and heat leave it on until new growth appears you could use 19 x research source an inverted two liter soft drink bottle with the top cut off an inverted mason jar a plastic bag held up at the top with a small wooden stake place the cuttings somewhere with moderate sunlight position the cuttings in a place that gets moderate sun and shade while your rose cuttings will benefit from some sunlight intense heat and rays may damage them before they take root plants can be moved to a sunnier spot once they grow strong roots 20 x research source it should take about 3 4 weeks for the cuttings to take root to test if roots have grown tug gently on the planted cuttings if they resist being pulled out roots have likely formed potted rose plants can be transplanted into your garden the following season once they are mature enough to survive replanting,Home-and-Garden
how to water air plants,air plants also known as tillandsia are popular low maintenance houseplants that don t grow in soil instead they pull the bulk of their needed nutrients from the air to keep your air plant healthy and happy it needs water about once a week bottled or filtered tap water works best avoid watering your air plants with distilled water since the distillation process removes important nutrients,fill a clean tub bucket or sink with bottled or filtered tap water choose a container or receptacle that can easily accommodate all of your air plants add room temperature bottled or filtered tap water to the container make sure you use enough water to fully submerge each clump 1 x research source always clean out the container before using it to water your air plants avoid using distilled water for this since the distillation process removes crucial nutrients 2 x research source submerge your air plants in the water air plants don t grow in pots or soil so you can easily gather the small loose clumps with your hands place each clump in the water bath and push it under the surface you can soak multiple air plants simultaneously 3 x research source if your air plant is mounted to a surface like a heavy shell or piece of driftwood you ll probably need to mist it instead of submerging it soak the plants for 20 30 minutes and shake off the excess water the air plants may float up to the surface as they soak which is fine just make sure the majority of each clump stays submerged for the full 20 30 minutes then grab each clump remove it from the bath and shake it off to get rid of excess water 4 x research source excess water tends to collect between the center leaves if you don t give them a gentle shake first which can eventually lead to rot and other issues if your air plants are particularly dry leave them in the water for up to 1 hour 5 x research source place each clump upside down on a paper towel to air dry completely air drying typically takes about 30 minutes but large or intricate clumps can take longer you can touch the center leaves with your fingertips to check for moisture return the plants to their original locations once they re totally dry 6 x research source always place clumps upside down to air dry so excess moisture can drain away repeat this process weekly to keep air plants healthy if the leaves look pale green and feel soft water the plant more often curled or rolled leaves also indicate dehydration 7 x research source during the winter months you can reduce watering to every 2 weeks 8 x research source fill a plastic spray bottle with bottled or filtered tap water use room temperature water for the best results be sure to avoid using distilled water which doesn t contain the necessary nutrients your air plants need to thrive 9 x research source spray each clump generously until the water is dripping off the leaves misting delivers enough water to your air plant as long as you re generous and thorough saturate the plant until water is running off the leaves 10 x research source mounted air plants often need to be misted because the object they re attached to can t be submerged in water if the object is porous bulky or heavy it s better to mist the plants mist your air plants at least once a week to keep them hydrated since they re tropical or subtropical in nature air plants will not last long without steady moisture 11 x research source thoroughly mist them at least once a week water your plants more often if you notice signs of dehydration air plants can dry out more easily if you re unable to submerge them in water to prevent dehydration watch for leaves that feel soft or look pale green leaves may also curl or roll up when they are dehydrated 12 x research source extremely dehydrated leaves may turn brown and brittle at the tips 13 x research source a hydrated air plant will look lush with darker green leaves place mounted air plants in a location that gets good air circulation unevaporated moisture can cause air plants to rot keeping mounted air plants in an area that gets plenty of air circulation so the leaves can dry completely after each misting session 14 x research source for example a spacious uncluttered room that gets plenty of light is a great place for your air plants make sure the surface your air plant is mounted on does not hold or absorb water for example cork would not be a good surface because it soaks up water like a sponge,Home-and-Garden
how to research the history of your house,if you own an older home you ve probably at some point wondered who slept in your bedroom long before you when your plumbing was last updated or why that ghost keeps hiding your car keys researching the history of your house is not only an exciting trip into the past but it can tell you how the house is built and give you clues as to how it should be maintained you can research the history of your house by examining the house itself looking at government records and reading through historical archives maintained for your city or town 1 x research source,evaluate the materials used over the years many different types of materials and styles of craftsmanship are used to build houses the types of materials used can give you some ideas about when the house was built and how long it has been since any changes were made 2 x research source for example one place you can look is under the water tank lid of the toilet if there is a toilet in your house that is original to the house the date stamp on the water tank lid will give you a good idea of when the house was built if the toilet isn t original that date will at least give you an idea when the bathroom was last remodeled if your house has a mansard roof for example it was likely built in the late 19th century however keep in mind that certain styles and housing designs were still being built in more provincial areas long after they had fallen out of favor in urban centers so the location of your house will be important in identifying the era in which it was built look closely both inside and outside your house and try to identify building materials used bring in an expert if you re unsure what type of wood or stone was used check out some architecture books go to your local library or research online to find out the design style of your house and when that style was popular in your area this can give you some clues as to when the house was built 3 x research source keep in mind that old houses often have been updated several times to reflect changing trends or the desires of the owners your house may incorporate several different architectural styles your house also may have been built at different times for example the original house may have been built in one style and then the owners built an addition in a different style 40 years later even with many decades of additions and renovations you typically can uncover a core style to your house this gives you a general idea of the era in which the house was built pay attention to design details and hardware used cabinetry and design styles go in and out of fashion through the years and these details not only tell you something about the history of your house but also give it a unique character 4 x research source the types of nails and molding used can provide some important clues as to when your house was built you can review design books or look online to find other instances of original molding or cabinetry to help date your house even if these elements aren t original dating them can provide clues as to when that particular room was remodeled scrape through layers of paint the walls of an older house may have 10 or more layers of paint if you don t want to cause too much damage to your house find an inconspicuous spot and scrape through the layers 5 x research source a professional can help you analyze the age of the lower layers of paint the colors used also can provide clues since different interior colors go in and out of fashion through the years the composition of the paint also can be analyzed to link it to a particular era since paint has been made using different chemical compounds over the years talk to your neighbors anyone who s been living in your neighborhood for a long time can help you understand more about the history of your house neighbors can be particularly helpful if you re new to the neighborhood 6 x research source ask them if they knew the people who lived in the house before you and whether they can remember any renovations being done if they are amenable you also can talk to them about the history of their house or ask to inspect its details since your neighbors house may have been built around the same time as yours this can offer you some important clues track down previous owners you typically can uncover the names of previous owners by looking through the deed history of your house in the united states this information is typically available at the county recorder or register of deeds 7 x research source once you have a name you can track them down on the internet for free or through a commercial people locator service keep in mind that some people may not want to be contacted and may not want to talk to you the house may hold painful memories for them or they may just not want to be bothered respect their wishes and avoid infringing on their privacy the best way to contact a previous owner typically is by sending a letter explain who you are and why you want to contact them provide them a means to contact you back if they re willing to talk use a metal detector in your yard a metal detector can be a great way to uncover old coins and other artifacts that may add their own unique story to your house and help you learn more about the house s history and its previous owners take care digging up artifacts in your yard you may want to contact an archaeologist or local historian if you believe you ve found something of possible historic significance visit your local courthouse or county recorder at the courthouse you typically can learn the official lot number or description of the property where your house is located you may not find correct information using your street address since these can change over time 8 x research source your local or county tax assessor also may have this information within the tax records for your property keep in mind that official record keeping of land and properties typically uses a different system than street addresses with which you re familiar this system allows you to track the history of your house from the moment it was built if you live in a place that has been continually inhabited for hundreds of years even the property grid lot system itself may have changed over time in this case you may also need to make a trip to your local historical society find a copy of your property s abstract the abstract records all deeds or other legal transactions associated with your property these documents typically are located at the county courthouse although you may have been given a copy when you purchased the home 9 x research source review the history of the purchase and selling price a dramatic increase in the selling price over a short period of time may mean a building or room was added or that the house was substantially renovated you can cross reference with any building permits for additional clues if you live in the united states visit your local or county courthouse to look at the deed registry usually found in the clerk and recorder s office this information is indexed by a lot and block number in a city and a section township and range for rural property go to your local municipal planning agency the government office that issues building permits should have public records pertaining to your house the building permit can contain a treasure trove of information including the house s original dimensions construction dates and costs and the names of the people originally involved in its construction 10 x research source keep in mind that you typically must pay a small fee to acquire these documents including a search fee as well as a fee for your own copy if your house is hundreds of years old you may need to visit the local historical society to find the building permit check city directories and atlases if you live in a larger city or town directories and atlases can help you uncover details about your house throughout the past in many areas these city directories and maps were in use hundreds of years ago 11 x research source directories and atlases also can help you identify changes in street names and other geographical details that you can use to target your research and find more information about your house these directories and atlases typically are available at the municipal planner s office if they are not there staff typically will be able to point you in the right direction review survey maps and field books survey maps and property field books are common sources of information about the history of a property these typically are located in either local or national archives and were maintained for tax purposes 12 x research source talk to someone at the property tax assessor s office to find out where historical records are kept and how you can access them keep in mind you ll typically need to pay a fee to have them retrieved read local newspaper archives your local library typically keeps archives of the local newspaper if there s more than one branch the central or main branch usually holds the largest collection 13 x research source if you live in a rural area with no library nearby try at the largest city or urban area or maybe the county seat that library typically will have archives pertinent to your area search backwards looking for mentions of construction in your neighborhood or the names of the house s previous owners keep in mind that street names and numbers can change over time so record any changes you see and the dates so you can construct a chronology visit your local historical society most regions have a historical society that maintains historical records and information about your house and your general neighborhood larger cities often have their own historical societies but if you live in a rural area you may have to seek out the historical society that covers a larger regional area 14 x research source if you have an extremely old house such as those commonly found in europe neighborhood information may be all you can find to research the history of your house if your house is less than 200 years old the historical society may have a wealth of information particularly if any of the house s previous owners were well known in the community or the house was the site of a significant event in local history take care handling delicate old documents and follow the historical society s rules regarding the care and copying of these documents search for information online there are many websites dedicated to preserving genealogical records and property history records often available for free you can use these resources to find information about your house as well as its previous owners 15 x research source for example if your house is in the united states you might search for records at the national archives and records administration nara website the nara maintains all official government genealogical and land records and also has links to other databases with a wealth of information if your house is in ireland or the united kingdom you might start your online research at the building history website located at buildinghistory org this site is maintained by a historian and provides a wealth of resources for researching the history of your house including deeds wills tax documents and maps as well as images and information about towns and villages compile a chronological history of your house as you uncover information about your house order it chronologically so that you can map the house s history from original construction to the present keeping your information ordered this way also enables you to identify gaps in that history where more research is needed 16 x research source,Home-and-Garden
how to design a small garden,even if you don t have a large area in your yard you can still make a beautiful garden that maximizes the space you have before you begin digging or planting make sure you have a detailed plan for the layout of your garden and the plants you want to include look for plants that grow well in your area and are small enough to fit in your garden when they reach their full size with the right plants you ll only have around 1 hour of weekly upkeep for your small garden,choose an area that gets 6 8 hours of sun daily since most flowering plants and vegetables require full sun to grow properly opt for the sunniest area in your yard to place your garden if the area doesn t get a lot of light during the day you may still be able to grow plants that thrive in the shade 1 x research source plants that don t receive enough light won t produce as many blooms or grow as well pick a spot that s close to a water source try to find an area that either has a natural water source or sits close to your outdoor hose attachment that way the soil will stay moist and make it less likely to dry out and kill your plants if you aren t able to place your garden directly by a water source make sure it s as close as possible 2 x trustworthy source university of georgia cooperative extension division of the university of georgia focused on research and community education go to source you can also try building an artificial pond or water feature if you want to help keep the soil hydrated opt for a place where you can easily access your garden look for a place in your yard where you can see your garden from a window or a spot in your yard so you re able to enjoy it make sure you can walk into your garden with ease to make it easier to take care of your plants avoid placing it anywhere that s difficult to get to or else it may become more of a hassle 3 x research source measure the space you have available for your garden stretch a measuring tape across the length of the area and record the measurement on a piece of paper then take the measurement for the width of the area double check your measurements to make sure they re accurate so you can plan the space efficiently 4 x research source typically plots grow best in rectangular areas but you can make your garden a different shape such as a triangle or circle if it fits the space better plan the layout for your garden to scale on a piece of graph paper draw the outline on the paper so each grid square equals 1 2 or 1 square foot 0 046 or 0 093 m2 start by sketching longer rectangles for your garden beds so they re to scale for the actual size you want them then divide the rectangles into smaller sections for each different plant you want to put in them assuming that 1 2 plants usually take up 1 square foot 0 093 m2 be sure to leave a 18 in 46 cm space between garden beds so you can easily walk between them and care for your plants 5 x research source for example if you want a garden bed that s 3 by 8 feet 0 91 m 2 44 m and each square on the graph paper equals 1 square foot 0 093 m2 then you would draw a rectangle that s 3 squares tall by 8 squares long this bed would leave enough room for 24 48 plants work in pencil so you can erase and make changes to the design easily look online for digital garden planners to help you design the layout use square foot gardening for the most compact growing system make a grid on your design so each square is 1 by 1 feet 30 cm 30 cm make a list of the plants you want to grow and label each square on the grid with one of the plants from your list make sure you know the final growing sizes so you can easily manage how many plants of a species you ll be able to grow in the square 6 x research source typically you can fit 1 2 individual plants of a species in 1 square foot 0 093 m2 area but you may be able to plant more if they re small growths talk to an employee at a gardening center since they can help you choose plants that will work the best arrange your design so there are focal points aim to have 1 2 aspects of your garden design unique so they stand out from the rest of your plants this could be a statue fountain or small tree placed in the center or on either side take into consideration where you want people to focus or have their attention drawn to when they look at your garden and plan your design around those spots 7 x research source focal points help your garden feel more inviting and make them more visually pleasing paths in your garden can also help draw people s eyes in certain directions to help then flow visually put similar plants across from one another to create rhythm and symmetry rather than putting different plants in each of your garden beds opt for using the same plant or ones that have similar textures or colors so they re across from one another that way when you look at your garden it will look inviting and make the area feel more balanced make sure the plants on each side of your garden have approximately the same sizes or your garden design may look messy or unbalanced 8 x research source make the edge height ⅓ of the horizontal length to help it feel enclosed making your garden feel enclosed will make you feel more comfortable while you re working in your garden measure the horizontal length of the garden area and opt for plants or design features that are at least a third of that length in your design 9 x research source for example if you have a garden that s 18 feet 550 cm long aim to have plants that reach up to 6 feet 180 cm around the edges include room for seating in your design if you want a place to relax look online or at gardening stores to find outdoor seating that fits your space and matches your style draw the seating in your design and make sure you have paths that lead to it you can place the seating directly in the grass or you can set it on tiles or pavers for a flat even surface 10 x research source avoid using furniture made for indoor use since it could easily develop mold or get dirty from the weather you don t need to include seating in your garden if you don t have the space opt for raised beds that are 12 in 30 cm deep for better soil look for raised beds or containers that are around 4 feet 1 2 m wide and 12 inches 30 cm deep so the plant roots have room to grow avoid getting beds any wider since it can make it more difficult to care for and harvest your plants if possible orient the beds so they run from north to south to allow your plants to get the most amount of light during the day 11 x research source raised beds are easier to manage since you can more easily control the soil and nutrients inside the container if you don t want to use raised beds you can still plant in rows directly in the ground build the planting beds if you aren t able to find preconstructed ones in the sizes you need mix ornamental and edible plants together in your garden try to include at least 1 2 types of flowering ornamental plants in each of your garden beds where you plan on growing vegetables opt for plants that have different leaf shapes and a variety of blooms to make your garden look visually interesting talk to the employees at a local gardening center to find out what plants are the most compatible so they don t compete for nutrients 12 x research source some ornamental plants you can use in your garden include hostas hibiscus allium salvia lavender and sedum 13 x research source flowering ornamental plants also attract beneficial insects that kill other pests and help pollinate you don t need to include vegetables in your garden if you only want ornamental or flowering plants choose compact varieties of plants to maximize the space if you like the look of larger plants and want to grow them check your local gardening center to see if they have compact versions of them check the final growing size on the packaging to make sure they ll still properly fit in your garden beds at the end of the season include the plants in your garden design drawing so you see how much space they ll take up 14 x research source the most common vegetables that have compact varieties are cucumbers tomatoes zucchini and squash but you may be able to find others avoid planting anything melons or fruit trees since they can be difficult to control and can steal nutrients from other plants use companion planting to reduce competition for nutrients and manage pests talk to an employee at a gardening center or look online about the plants you want to grow and what pairs well with them try to position smaller plants in between larger ones so you can make the most of the growing space make sure the plants you select are compatible with one another or else they may not grow to their full potential 15 x research source include a fence or trellis to help plants grow vertically try to put the trellis or fence along the north side of your garden so plants growing on it can get the most light throughout the day aim to have a 5 6 feet 1 5 1 8 m tall trellis to help it support the most growth 16 x research source avoid placing a trellis or fence where it casts shade on other plants or else you could make them grow less efficiently 17 x research source trellises and fences work well for plants vine like plants such as peas beans squashes and tomatoes you may also attach shelves or containers directly to a fence if you want to grow flowering plants off of the ground try succession planting if you want a large variety of vegetation look for plants that stop blooming or are ready to harvest in the middle of the growing season then choose varieties of plants that thrive in the latter half of the growing season to replace the plants that grew earlier that way your garden will always produce fresh vegetables or blooms throughout the entire year 18 x research source for example you can plant radishes or lettuce in the spring to harvest in the late summer then you may grow summer squash in the same location to harvest in the fall 19 x research source mulch between your plants to help the soil retain water aim to have a 2 3 in 5 1 7 6 cm layer of organic mulch such as wood chips leaves or peat moss spread the mulch evenly across your garden so it s about 2 inches 5 1 cm away from any of your plants stems reapply mulch throughout the season if you notice it getting thin 20 x research source mulch also prevents weeds from growing in your garden beds water the soil when it feels dry 3 in 7 6 cm below the surface dig a hole in the soil that s 2 inches 5 1 cm deep and touch it with your finger if it feels dry use a watering can or a hose to water the soil until it s wet 6 8 inches 15 20 cm deep check the soil daily to make sure it doesn t dry out and kill your plants 21 x research source plants in containers or raised beds usually need to be watered more often than those directly planted in the ground apply fertilizer in the beginning and middle of the growing season you can either use liquid fertilizer or buy granules that soak into the soil apply half of the fertilizer amount on the soil near your plants and spread it evenly throughout the garden bed immediately water the soil so the fertilizer can soak in and give nutrients to your plants 22 x research source be careful not to get any fertilizer directly on your plants since you could damage them pull weeds out by hand when you see them growing check your garden beds weekly for weeds growing between your plants grab the weeds as close to the soil as you can and pull them straight out of the ground if you don t want to pull them by hand use a hoe or trowel to dig out the roots and remove them from your garden 23 x research source avoid leaving the weed s roots in the soil since they could grow back prune plants to control their sizes begin pruning at the start of the season to help promote new growth and in the middle of the season to help keep your garden looking clean remove any stems or branches that have damage or look leggy with a pair of hand pruners make cuts at a 45 degree angle to help reduce the chance of rot 24 x research source don t cut off any more than a third of the vegetation or else the plant may not grow back as easily,Home-and-Garden
how to cap off a sprinkler head,if you have sprinkler heads that are too close together or want to prevent overwatering in a certain area you may want to cap a specific sprinkler head to cap a sprinkler head you ll have to remove the existing sprinkler cap and replace it with a flat cap that will prevent water from flowing into that head you can also completely remove the sprinkler head and cap it with a pvc pipe cap,find or purchase a sprinkler cap or plug that is compatible with your system your sprinkler system should have originally come with the flat plastic caps or plugs that fit over your sprinkler head these caps plug up the water and prevent it from being dispersed on your lawn or garden if you can t find the cap that came with your system you may be able to purchase it on the manufacturer s website or at a hardware store 1 x research source each sprinkler system will use a different sized cap so it s best to find one made specifically for your system turn off the water to the sprinkler system locate the valve that controls the water that pumps through your sprinkler system and turn the valve clockwise to turn off the water this will prevent water from flowing out of the system while you cap the sprinkler head 2 x research source the shut off valve for your sprinkler system is typically on the side of your house shut off valves on sprinkler systems are usually blue clear the dirt around the sprinkler head use a gardening shovel to dig a 1 2 in 2 5 5 1 cm hole around the sprinkler head set the dirt on the side so that you can use it later to refill the hole 3 x research source clearing the dirt from the top of the sprinkler head will ensure that it doesn t enter your system when you unscrew the head s cap remove the cap from the sprinkler head turn the top of the head counterclockwise to remove the cap if you can t remove the cap use a pair of pliers to loosen it continue unthreading the top of the sprinkler head until it s removed 4 x research source screw the new cap onto the sprinkler head place the flat plastic cap made for your system over the threads on the top of your sprinkler head turn the cap clockwise to tighten it 5 x research source refill the hole and turn on the system turn the water supply valve counterclockwise to turn the water back on turn on your irrigation or sprinkler system and examine the sprinkler head you capped no water should be coming out of it 6 x research source turn off the valve to the system s water source turn the water valve connected to your sprinkler system clockwise to turn it off and cut off water flow typically this valve will be blue and located on the side or back of your home 7 x research source if you don t turn off your water it may spray out of the system when you remove the sprinkler head dig a 5 6 in 13 15 cm deep hole around the sprinkler head use a gardening shovel to create a hole around the sprinkler head set the dirt on the side so that you can use it later to refill the hole 8 x research source removing the dirt around the head allows you to access and remove the sprinkler head easier 9 x research source unscrew the sprinkler head make sure your hole is deep enough so that you can see the base of the sprinkler head grab the long stem of the sprinkler head and turn it counterclockwise to loosen it from your sprinkler system tubing 10 x research source you can use the extra sprinkler head to replace a broken sprinkler head or use it in another location along your system screw a pvc pipe cap directly onto the system purchase a pvc pipe cap that is the same size as the pipe in your sprinkler system place the cap on the threads that the sprinkler head was screwed into rotate the pvc pipe cap counterclockwise to secure it onto the system 11 x research source screwing a pvc pipe cap onto your sprinkler system will turn off that specific sprinkler head typically sprinkler systems use 1 2 3 4 in 1 3 1 9 cm pipe fill the hole with dirt and turn on the system go back to the valve and rotate it counterclockwise to turn the water supply back on access your sprinkler system controller to turn the system no water should be coming out of the sprinkler head that you capped 12 x research source,Home-and-Garden
how to propagate elephant ear plants,elephant ears are lush jungle plants with large green leaves shaped like hearts while elephant ears can t be propagated from cuttings like many plants you can divide the tubers of a healthy parent plant do this in the fall then plant the tubers in containers or store them for the winter and plant them outdoors in the spring either way these hardy elephant ears will make a lovely addition to your home,dig up your parent plant in the fall for the highest chance of success for best results wait until the parent plant starts to go dormant in the fall and the leaves start to die off before removing it from its pot or in ground location dividing the new tubers from the original growth in the fall puts less stress on the parent plant because it won t be actively growing giving you a better chance of successfully separating the new tubers without harming the parent plant 1 x research source if you grow your elephant ear parent plant outdoors in the ground and the temperature drops below 40 f 4 c where you live dig them up in the fall and store the bulbs indoors during the winter since you ll already be digging up your plant this is a great time to separate the new tubers 2 x research source soak your tools with bleach to avoid transferring diseases first mix 1 part bleach with 9 parts water in a clean bucket place your pruning knife and shovel if you re using one in the solution let the tools soak in the solution for 30 minutes then rinse them with clean water before using them to dig up and cut new growth tubers from your parent plant 4 x research source the bleach sterilizes your tools helping prevent the transfer of any bacterial or fungal diseases that may be infecting your parent plant 5 x research source in addition you ll also avoid introducing new bacteria to the parent or new plant that may be lingering on your knife or shovel remove the parent plant from its pot or in ground location if your elephant ear plant is in a pot carefully grab onto the stems to lift it up out of its pot if it s planted in the ground use your hands or a shovel to dig around the plant to loosen the soil then grab the stems to lift it out of the ground 6 x research source dig around your in ground plant slowly and carefully so that you don t harm any healthy tubers and roots select healthy tubers with roots to divide from the parent plant first gently shake the plant or use your hands to loosen and brush off the soil so you can see the tubers bulbs then examine the new growth tubers to see which ones are sprouting roots as long as the tubers have at least one new root bud or sprout they ll likely be able to survive away from the parent plant 7 x research source choose tubers that don t have any blemishes or rotten areas as these may indicate that the plant has a disease that can prevent it from successfully propagating 8 x research source separate the new tubers from the parent plant carefully untangle and cut away the new tuber s roots from the parent plant tuber s roots then use a sharp knife to cut the new tubers away from the parent plant tuber wherever they intersect 9 x research source elephant ear tubers have a potato like texture making them easy to slice through with a sharp knife you can cut all of the new growth tubers away from the main plant mass or leave some attached if you want the parent plant to grow larger more quickly plant the tubers indoors if you want to grow them immediately you can replant the tubers immediately if you want to put them in a container select a large pot with drainage holes and fill it with well draining potting soil make a well in the soil a little larger than the tuber and place the tuber in the well with the pointy side facing up lightly pack soil around the tuber and water it gently 10 x research source a mixture of peat moss and sand makes a good soil for elephant ears keep the tubers in a cool dark place until spring if you want to plant them outside if you live in an area with cold winters store your elephant ear tubers inside until spring place each tuber in a separate paper bag and put the bags in a cool dark place that stays dry until the weather warms up a basement is often a good choice as long as it s not too humid 11 x research source for best results keep the tubers in a room with a temperatures from 50 to 60 f 10 to 16 c 12 x research source select a planting location with full sun to part shade elephant ear plants are jungle plants so they do best in areas with plenty of sunlight avoid planting them beneath trees or structures that provide lots of shade ideally plant elephant ears in areas that get 6 or more hours of sun per day 13 x research source choose a location that is sheltered from the wind if possible plant the tubers outdoors once temperatures reach 40 f 4 c and higher if you ve stored the tubers indoors through the winter or if you live in a warm location you can safely plant your tubers outdoors use a shovel to dig a hole for each tuber that s about 5 inches 13 cm deep place each tuber inside the hole with its pointy side up cover the tuber with soil then water it thoroughly with the hose 14 x research source for best results let the soil temperature rise to at least 65 f 18 c it may take several weeks for the new elephant ear plant to emerge 15 x research source space the elephant ears 3 6 ft 0 91 1 83 m apart elephant ears are rather large plants so each tuber needs plenty of space avoid planting them close together or they ll fail to thrive 16 x research source lining your walkway or fence with elephant ear plants has a lovely effect keep the soil around your plants consistently moist elephant ear plants need moist but not soaking wet soil plan to water your plants each morning after checking the soil with your finger to see if it s dry about 2 3 inches 5 1 7 6 cm deep water the soil around the base of the plant rather than the leaves 17 x research source,Home-and-Garden
