how to run away from home,running away is a major decision you may need some time to think about whether you want to run or not there are many reasons why young people would want to run away from home some of them good and some of them not so good remember to think of the bad things that can happen probably the most important thing for young people to understand is that running away is a lot harder and a lot less glamorous than you may think there are cold sleepless nights there are danger and hunger there is a general sense of being lost and not knowing where you need to go that being said there may be legitimate reasons for wanting to run away read this article to help you weigh the consequences and get a head start if you end up deciding that s the right call for you,stop and think about your possible actions why do you want to run away is there a really good reason to run away or are you just bored or tired with your situation there s a difference between running away for a good reason you re in physical danger and running away for a bad reason you just got in a small fight with your parents don t make a hasty decision in the heat of anger you might regret it later think about all the people you might be affecting by running away humans are social we bond together out of need and necessity but also because we gain satisfaction from being close to one another try to think about the people who will be seriously affected by your decision you owe it to them you may not know it but they think about you all the time think about your parents though it may not always seem like it your parents love you deeply they see themselves in you and they want a better future for you than they want for themselves fights and disagreements happen with parents their love for you never changes think about the rest of your family your brothers and sisters aunts and uncles grandmothers and grandfathers all of them have a relationship that s deeper than just a friendship it s very possible that your family will feel hurt and responsible for you running away even if they had nothing to do with it think about your friends your friends are the lifeblood of your social circle they laugh with you they make you feel better when you re down they sometimes even think of you like a brother or sister running away probably means leaving them behind think of other mentor figures maybe it s a teacher maybe it s a friend of your mother s many of us have mentors who look after us they want to see us succeed and be safe your decision will undoubtedly have an effect on them understand that in many cases running away from home is illegal although most states won t punish minors someone under the age of 18 for running away from home several states consider it illegal in georgia idaho nebraska south carolina texas utah west virginia and wyoming running away from home is a status offense meaning that it s against the law if you are under 18 however if your parents or guardians have tried to hurt you you should get away and this is perfectly legal but you have to do it in the right way tell a teacher or other trusted adult or call the police make sure you have a place to stay for a night or two before you do this so you don t have to go anywhere weird you may worry that foster care will be worse than being with your parents even if they hurt you but it is better to risk it you may even be able to stay with another family member or friend if you work this out in advance even if you do run away in a state that doesn t have laws against it you could still find yourself in court over 30 states consider children who chronically run away from their homes child in need of supervision or chins a process which is designed to help children lead better lives still minors who are in the chins process may face fines suspended privileges and mandatory drug screenings talk to someone about your plans to run away consider calling 1 800 786 2929 1 800 run away or going to http www 1800runaway org to talk about your situation and all the options you have 1 x research source address the motivation for wanting to run away if possible there are many reasons why a child would want to run away addressing the reason why could help you solve the problem before it gets so bad that you feel forced to run away here are some statistics 47 of runaway youth described having a significant problem with one or both of their parents is there another adult who might give you advice about how to work the problem out with your parents if not consider calling child protective services 2 x research source 3 x trustworthy source child welfare information gateway online portal managed by the u s children s bureau providing resources related to childcare and abuse prevention go to source more than 50 of runaway youth in shelters said that their parents told them to leave or knew they were leaving but didn t care if your parents ask you to leave or tell you they don t care about you leaving call or visit child protective services 4 x trustworthy source child welfare information gateway online portal managed by the u s children s bureau providing resources related to childcare and abuse prevention go to source it s not betraying your parents to want to find someone who cares about you you deserve that 80 of runaway and homeless girls reported physical and sexual abuse if you are the victim of physical or sexual abuse find an adult who you can confide in it may be your parents it may not be and visit the police to file a report 5 x research source write a list of all the pros and cons of running away often putting your thoughts down on paper has a soothing effect making things more clear in the process here are some possible pros and cons of running away the pros possible freedom from neglect abuse verbal physical or sexual and or harassment opportunities to travel see new places and meet new people increased freedom and the possibility of maturity and personal growth no matter how hard it gets development of self reliance a sense of being able to do things by and entirely for yourself the cons increased likelihood of spending nights outdoors on the streets under bridges or overhangs or even on top of roofs increased likelihood of depression isolation and powerlessness 32 of runaway youth have attempted suicide at some point in their lives increased likelihood of violence drugs disease and prostitution on the streets feeling like you have no one to talk to like no one cares or like the things you do don t make a difference give your emotions one week to cool off before making any big decisions often we let our emotions make decisions for us when we think we re being rational this can be a good thing but sometimes it s bad because we trick ourselves into thinking that we re being rational to let your emotions cool off and really give yourself time to think about your possible life changing decision wait a week before doing anything reach out to people you can trust and perhaps talk it over with them after a week your rational brain will probably have had time to make a decision this is different for each case and so you should weigh the consequences for running away if your parents were to find you some parents get mad at you instead of trying to help you 6 x research source plan ahead think of what you will do if any part of your plan goes wrong and make up excuses for everything here are some things that you always need to consider what will you do if you get sick what will you do if you are caught what will you eat how will you maintain good hygiene how will you stay off the streets and out of harm s way how will you earn enough money to survive try to find a safe place to stay with someone you can trust if you have someone who s helping you run away and can stay with them at least for a little while you re pretty much set however if that s not a possibility where will you take shelter pack up a bag with some essentials travel light bring only the bare essentials now is not the time to set a record for pounds carried bring food money extra changes of clothing a jacket or coat in case it gets cold clothes with pockets a toothbrush toothpaste soap shampoo and anything else you will need if you don t want to be recognized take with you only the clothes you wear least often some other things that might be useful in your quest utility knife maps umbrella combination lock blanket a jacket try to bring some of your allowance but don t take enough to get you noticed maybe 10 for a bus or other transportation and 50 just in case if you plan to steal the money find a place where you can get it fast without being spotted by your parents if you have a credit card definitely take that as it s much harder to steal and use and you can cancel it at any time be prepared for your parents to possibly cancel it however when they find out that you ve run away don t use it as your only source of money also using a credit debit card can give away your hiding place the bank can track down your card and see what stores and shops to which you ve been also the same with cell phones they can track your location you need to be aware of these things and use them wisely wait until you have the right opportunity to make a run for it make sure you have plenty of time to get away before anyone notices you re gone try making your move as soon as you get to school in the morning or as soon as everyone in your home leaves and you know they won t be coming back for a long time when you do book it make it snappy the last thing you want is for anyone in the neighborhood to notice you leaving find a method of transportation you will likely want to have a quick and easy way of getting around the city bus is your best bet or a long distance traveling bus if you re leaving the town city make up a story you ll have to accept that at some point someone is going to want to know where you came from or what you are doing you re probably going to need to do some thinking about this think of something reasonable and realistic but don t say you ran away keep it simple you ll want to remember it everywhere you go because word gets out quite fast in this world about anything so you should probably keep your story the same all throughout your life as a runaway just to avoid arousing suspicion avoid inconsistencies by thinking out the details ahead of time if you are really serious about running away permanently change your name have fun with it but don t choose anything too wacky but think about it something common would probably be best because it ll be harder to remember and your main aim is not to become too well known live near large grocery stores or candy stores these places will usually have food samples open to the public which you can snack on though make sure you take a cart with you and try to look like you have a purpose don t hang around also you can use the public bathrooms to wash yourself and do your business it s not glamorous but you can always go dumpster diving at the back of large grocery stores you ll be seriously surprised about what people throw away the more you dumpster dive the more your system will get used to food that s past its prime in the beginning it might be quite uncomfortable but it should get better find shelter if you haven t if you don t have a place to stay you ll have to find shelter elsewhere try finding a reasonably safe spot under a bridge in an alcove in an abandoned building somewhere or perhaps in a public building that stays open 24 7 if these don t work out try looking for the nearest homeless shelter and check their availability if you just need a place to stay in order to pass the time public libraries churches college buildings airports and train stations are all possible options these places are safe while generally having enough people about to make it easy for you to go unnoticed in the winter months you may want to try to find a building with an elevator if you are in a downtown area try climbing the stairs next to an elevator shaft all the way to the top you may find a room that is nice and warm that not too many people go into stay away from the woods or the desert these places are generally very rural and make it easier for other people to victimize you as romantic as it may seem it s really hard to make a living off of the land nowadays especially if you know nothing about plant and animal species try to find places with other people around they re usually safer you ll probably begin to need money at some point so learn how to panhandle panhandling is asking other people for money there s not much pride in it and many people will flat out ignore you but with the right strategies you could be quite successful and maybe even get enough to save some money choose the right location find a busy place where people walk such as outside a mall area a convenience store or a place where people come out with change ask patrons for money after they come out of the store not before alternatively ask drivers for money on a busy intersection make sure you re on the left side of the car where the driver s side is smile and ask people for change politely and softly you won t get very much money if you look mean or frustrated or unhappy when someone does give you money thank them with a smile and a friendly remark don t use the foreign accent ploy some people find faking a foreign accent tempting but this is typically a bad idea a foreign accent draws attention to yourself people will want to know more about you and your culture when you should really be trying to be as invisible as possible moreover faking an accent is extremely difficult it doesn t matter how good you think your foreign accent is it matters how much everyone else does maintain yourself this part is by far the hardest particularly maintaining a healthy diet and a good hygiene hospitals are known to keep exceptionally clean restrooms and offer good privacy here are some other tips that you can use to keep your hygiene high even if your spirits are low use bathrooms in big grocery stores there s not much privacy but there s very little foot traffic think about it how often do you use the restroom in a grocery store you ll probably be able to give yourself a nice little hand bath here and use some of the free soap provided use generic sex lube for shaving and straightening out hair it sounds weird but it works put a dab of lube on your skin and work it in gently with a bit of water shave up being careful to wash the razor out immediately if you need to straighten or tame your hair in the morning a little bit works wonders and it doesn t look noticeable afterwards shower at public swimming pools as well as colleges and universities if you pretend to be a student colleges often won t ask you to show your id this won t work all the time but it s worth the try especially if you trick a regular into believing you belong there decide what happens when you run out of food come up with a plan and if you run out of suitable options consider returning home or if you re really true about running away try to start a new life get a job some shelter no matter how bad all you need is protection from the weather and some friends in your new city or town control any desperation productively when you re down on your luck and you have nowhere else to turn you can begin to feel pretty desperate try to control that emotion instead of letting it push you to do rash things get some good food into your stomach even if it means spending every penny you have take a deep breath even if it feels like wasting time think back to a time when you felt powerful and resourceful ready to take on the world control your desperation by controlling your attitude there is no problem that can t be tackled by a little bit of imagination and pluck avoid hitchhiking keep in mind if you do decide to hitchhike that there are drivers that will do some bad things to you they could abandon you or even hurt you however on the flip side there are also really nice people out there who would gladly take you with them it s all about reading the driver and making a decision try to hitch rides with a nice lady a family with several children or a car with passengers they will probably want to ask you where you are going or what you are doing so have a nice little lie handy do not tell them that you ran away from home and say as little to them as possible if a sketchy or scary looking person offers to give you a ride ask them where they re going first when they answer tell them you re going to a different place preferably far away if they say that they can take you there politely refuse and cut off communication after that wait for them to drive off protect yourself if you are in a big city with many people know that there are likely people who could pose a threat to you bring something with which you can defend yourself such as pepper spray cleaning chemicals or perfume because perfume contains chemicals which can cause blindness being aware of dangers and avoiding them is usually better than having to confront them however walk away from people who pose a threat to you stand upright and tall and keep your composure but don t argue or aggravate them try to get to a public well lit area where there are a lot of people there s usually strength in numbers don t get pulled into prostitution don t let anyone do anything to you that you are uncomfortable with and if you get desperate enough that you feel you need to resort to this seek help local charities and churches will help you without asking too many questions prostitution is a common outcome of running away actually a study showed that one in four of runaways both boys and girls were victims of trafficking or used sex to get things like food and shelter 7 x research source because of the high chance of prostitution and also because of the poor sanitation conditions runaways are significantly more likely to get hiv aids be very careful avoid drugs and alcohol homeless youth are significantly more likely to fall into drug and or alcohol use this can lead to diseases like hiv aids or even death from overdose this is just aside from the other side effects of drug and or alcohol use be careful and do not use drugs no matter how bad you feel try to avoid getting arrested homeless people are much more likely to be arrested usually for being a nuisance loitering or trespassing you want to avoid having to spend a lot of time in jail so be careful where you go and how you look and act be careful around the other homeless people many people are homeless because they just hit some hard times and these people can be perfectly wonderful but there are also a lot of homeless people that are very desperate or mentally unstable especially in the us where mental health care is notoriously inadequate many mentally ill people end up on the streets these people can be dangerous and may attack you for no reason try to avoid being around other homeless people to keep yourself safe,Youth
how to be a good girl,your teenage years may be the most challenging and formative times in your life it s important during this time that you develop good habits and a healthy mentality by becoming a good girl you can have an easier home and school life while bringing out your best self,become your own best friend don t treat yourself the way you wouldn t treat a friend this means no more insulting yourself when you look in the mirror setting harsh dieting rules or beating yourself up when you make a mistake if it would be mean to treat a friend that way then stop treating yourself that way wear what makes you comfortable don t worry about trends or fashion rules choose clothes that make you look good and feel confident and comfortable it s usually good to wear something you can move around in you don t need to wear makeup if you decide to try it start small and work your way up as desired wear clothes that make you feel happy whether you love lace rainbows overalls or poofy skirts you should choose clothes that work for you skimpy outfits can move around when you wear them and it s no fun to be constantly monitoring your neckline or hem wear clothes that are comfortable to wear and carry so that you can have fun without worrying about whether your clothes are in place take good care of your body treat it with respect and look after your health work fruits vegetables whole grains and fruits into your diet get plenty of sleep and relaxation find ways to make exercise fun like dancing swimming walks with loved ones and backyard sports 1 x research source focus less on what your body looks like and more on what it can do drinking smoking and drugs are very bad for you avoiding or quitting them will help you feel more energetic positive and alert 2 x research source try to go to bed and wake up at around the same time each day this will help your body get into a good rhythm ask your parents to remind you to go to bed if it helps make the most out of your free time your free time is precious so use it for what matters most to you engage in your favorite hobbies read good books and hang out with people you love to shake things up make a list of all the things you d like to try someday then start trying them tv is great for relaxing but too much tv can leave you drained and tired balance your free time to include hobbies family and friends celebrate your mind just as you re growing physically and emotionally you re also growing intellectually try reading books from different genres from classics to science fiction try hobbies from arts and sciences what is fun to you look for articles online about topics that you enjoy be mindful of your media exposure the media can have discouraging messages such as hypersexuality mean behavior and rude and incorrect stereotypes this is not healthy surround yourself with media that celebrates your values and the type of person you want to be look for media that supports your self esteem especially in fighting negative stereotypes a girl who loves robots could watch tv with women in stem a girl who uses a wheelchair could read books about people with disabilities and plus size girls can look at pictures of stunning women of the same size remind yourself that people like you exist and have worth let yourself struggle sometimes even the kindest most cheerful people have bad days sometimes it s okay to feel sad get a bad grade on a test or lose your cool every once in a while being good does not mean you have to be perfect and people will understand that if you feel down try talking to someone about how you feel you ll feel better and they ll be glad they could help if you make a big mistake talk about it apologize to anyone you hurt and ask how you can make up for it the mistake is less important than how you handle it find inspiration for being good maybe this means talking to a loved one who inspires you going to a religious or volunteering group reading a book that exemplifies your values or even re reading this article when you feel lost or uncertain it can remind you of your purpose and the way you want to live your life respect and listen to your parent s they have more life experience than you do so they may be wiser than you realize ask them for advice and value the things they tell you even if you don t always agree think about how many good things they have done for you chances are you ll never able to stop counting 3 x research source parents aren t perfect and sometimes they give bad advice and make bad decisions hear them out and then explain your point of view as calmly as you can work together to figure out a good approach don t accept a bad situation most parents are good or at least decent but some are mean or abusive if things are bad at home talk to another adult you trust try a teacher school counselor parent of a friend clergy member relative or other adult who is a good listener talk to them about what s going on and ask for help handling the situation offer help at home when you see your parents or siblings looking like they need help struggling with packages doing chores etc say is there anything i can do to help you open doors for them help carry things little things can make a big difference 4 x research source learn helpful skills the next time you see your parents or older siblings doing chores try asking them to show you how the two of you can do it together you ll practice and help out at home and then you ll be good at it when you re an independent adult learn how to cook do laundry do housework and other basic tasks help out your parents and anyone you see who could use a hand offer to babysit for your neighbor s young children when they go out at night teens can traditionally make good money this way try yard work like mowing your lawn taking care of the plants and weeding try your hand at basic engineering tasks such as auto repair changing a flat tire and fixing a leaky tap girls are better at engineering than most people realize some parents are willing to set up an allowance in exchange for chores or pay you for doing chores e g 10 for mowing the lawn keep your space clean clean your room and any messes that you make around the house if you see messes that are not yours you can still help clean them up sweep vacuum put away clutter and dirty clothes and clean things like windows and mirrors cleaning up other people s messes is nice and optional don t feel obligated if you don t have the energy be kind to your sibling s look for the things that you have in common and have fun together speak politely to them even when they annoy you and respect their boundaries they ll probably do the same to you in return let them have space when they need it if you can t handle your siblings right now then don t say that you need some quiet time and retreat to a quiet space your siblings should respect that and if they don t ask an adult for help be nice to your classmates and to your teacher be respectful kind and helpful to everyone at school this will make people like and respect you more do your best to get good grades study for all tests and quizzes because they all count turn in your homework on time and pay attention in class participate in class for even more points towards your grade 5 x research source teachers love it when you raise your hand in class whether it s to give an answer or ask a question if you give a wrong answer it s okay you don t need to get perfect grades or to work so hard that you get really stressed instead of putting in 110 effort all the time put in a very good effort most of the time stressing out too much about school is bad for your health and you should talk with a doctor if it s becoming a problem do your homework every night do your homework promptly every night and do the best job that you can on it this will give you better grades and it will also help you become more disciplined and responsible 6 x research source you may feel a lot better with your homework already started or already finished it s easier to have fun when you know that you ve gotten some good work done break up your studying time cramming for three hours straight isn t good for your health and you won t learn as much start working early to make it easy on yourself then you can take lots of study breaks and feel less pressured don t stay up late studying before a test you need your brain to be fresh and alert so get plenty of sleep in order to prepare be respectful during class look at the teacher face front and focus on note taking and listening don t chat text pass notes or use your phone in class these are disrespectful to your teacher and your peers who are trying to learn if you have a disability that causes you to fidget or appear inattentive to non disabled people let your teacher know find ways to accommodate your needs so you can focus ask for help if you re overwhelmed learn to ask politely for help if you are struggling in your classes most people love to give advice and be helpful and your teachers want to see you succeed explain that you re struggling and ask for help their advice can help you and they ll respect you more for it here are examples of ways to ask for help 7 x research source i m really struggling with this one project could you help me i did my best but i didn t understand everything in class yesterday is there anything online that could help me learn the material a little better i don t understand what this homework problem is asking could you explain it to me please i m stressing out so much about school that it s hard to sleep and i get bad headaches i think i have a problem with anxiety and i want to see a doctor i need help be kind to other people remember the platinum rule treat others the way they would like to be treated this means being respectful and considerate as a general rule don t say something behind someone s back that you wouldn t feel comfortable saying in their presence be clear when you want something it s normal to have wants and needs so be assertive and ask for things use i statements like i would like i think or when you ____ i 8 x research source being passive might feel kinder but it isn t hinting or beating around the bush will only confuse or frustrate people learn to be a great listener listening and validating people s feelings are tremendously useful skills this means treating them like what they say and how they feel is important even if you don t agree with them people will feel much better and start opening up to you if you do this practice random acts of kindness whether it s small like holding a door for someone or big like creating a picture book for your little brother random acts of kindness are a great way to be and feel good look for opportunities to make people smile say your kind thoughts out loud if you think your friend s shirt is awesome let him know if your sister made a really cool science project tell her how much you like it even a random compliment from a stranger can brighten someone s day sometimes it s a bad time for example you wouldn t stand up in the middle of a concert and shout i love your singing you can wait until a good moment e g after the concert or tell other people about your thought people always feel happy when they learn you ve been saying good things about them behind their back look for the best in everyone everybody has positive traits so look for them in each new person you meet treat them with the assumption that they are well meaning and intelligent in their own way they may just rise to meet your expectations keep doing this and you will be a ray of sunshine that inspires others to be their best a few people are mean and rude no matter what you do keep a safe distance from these people and continue being positive it may rub off on them or it may not treat everyone with respect including those who are different from you it can be tempting to write people off as weird stupid or stuck up don t everyone has a story and is struggling in a way that you might not notice treat everyone like they are good at heart be respectful to everyone including the people you don t like they may warm up to you be polite courtesy will show others that you are considerate and mature use the phrases please thank you and may i let other people go first get a book on everyday etiquette or ask someone who appears to be particularly knowledgeable on it practice patience when you don t understand people may say things that don t make sense to you but they probably have a good reason instead of giving up or getting mad at them ask questions this works in a variety of perplexing situations from a person who is acting strange to someone who is being mean that s interesting why would you say ask do that i don t understand could you explain it i m surprised that an educated and considerate person like you would stereotype transgender people like that compliments can defuse rude behavior leave or defuse the situation if there s an argument nobody can truly win an argument calm yourself down or excuse yourself if you don t think you can handle it calmly you can always continue the discussion later when you have a cooler head i need to take a break i don t know how to respond to that i m so upset i don t know how to handle this i m going to take some quiet time surround yourself with people who make you feel happy you won t get along perfectly with everyone and that s okay spend your time and energy on the people who build you up and make you feel good they can help you feel happy and remind you of the person you want to be you re allowed not to be best friends with everyone if you feel upset when you re around someone be polite to them and focus your attention elsewhere be mindful about your romantic relationships a good girl doesn t rush into romance and makes sure that she is ready before trying something new communicate with your partner and talk about kissing and intimate touching before you do them learn how to say no an i don t want to not tonight i m not ready for that or just plain no makes it clear to your partner how you feel learn to recognize danger signals some people are disrespectful they push your boundaries laugh off your discomfort or worries or trash talk other people steer clear of them show people how much you appreciate them when someone does something kind for you let them know you re grateful with a simple smile or thanks give them a hug or some kind words sometimes so they know how much you care,Youth
how to determine if you are a tall girl,you re used to towering over all of your female friends you feel guilty for blocking people s views when you go to the movies or a concert when you first meet people they stare up at you and say wow you re so tall and you re like yep if these things have happened to you then yeah you are a tall girl but it doesn t have to be a tragedy beauty comes in all shapes and sizes and if you re tall you should be proud of your long legs and beautiful looks here s how to know if you re tall and how to make the most of it,see if you re taller than most of the girls you know if you re standing around a group of your friends and you re towering over them then yeah you re tall check out a photo of you and your friends and see where you stack up if you re a head above the rest of your friends then yep you re probably tall but remember that it also depends on who you hang out with you won t look so tall if you re hanging out with members of the volleyball team instead of regular girls see if you have a hard time finding clothes that fit you if you regularly have a hard time finding pants that fit you because they are always too short then yeah you re tall you may even hear your girlfriends complaining about always having to hem their pants because they are too long and may wonder what the heck they are talking about you may also have a hard time finding shirts that don t look like belly shirts when you put them on 1 x research source as for shorts if you re tall then it may be hard for you to find shorts that cover much of your legs if your school has a dress code where your fingertips have to reach the bottom of your shorts it may be nearly impossible for you to find a pair of shorts that is long enough see if everyone around you asks if you play basketball or volleyball if everyone around you asks if you play these tall girl sports then it may be a sign that you are taller than average this can be annoying if you don t actually play those sports or any sports at all people love to assume things about others because of their looks and you shouldn t get too discouraged by this see if you re taller than 5 6 though this measurement can change depending on what country you re from in general if you re taller than this you can be considered tall 2 x research source see if you re just hitting puberty earlier than other people in general girls hit puberty between the ages of 8 13 and boys hit puberty between the ages of 9 15 this means that if you feel tall but you re only 11 you may just be developing faster than a lot of your girl friends and may be taller than the boys around you who will take a bit longer to catch up if you re still in the midst of puberty and many of your friends haven t hit puberty yet then don t worry in a year or two you ll be surprised by how quickly you stop feeling like the tall girl see if you can never blend in when you re in a crowd if you re in a room full of people and your friends can spot you right away from across the crowded space then yeah it may be because you re so tall that you stand out easily there s nothing wrong with that who says that standing out is a bad thing see if you never have enough legroom whether you re sitting on a plane or in the passenger seat of your friend s car if you always feel like you have to move your legs to one side recline the seat or just contort your body to get your feet on the ground then you may be a tall girl see if you tower over most of the guys your age if those middle school or high school dances are awkward because any guy you dance with is just short enough to be eye level with your chest when it s time to sway to a slow song then yeah you re a tall girl but don t be discouraged there s a good chance that a lot of the guys you know haven t stopped growing yet see if you feel guilty for always blocking everyone s view when you go to a concert or the movies you can t help being tall but still you find yourself feeling guilty whenever you go to a concert or the movies because you just know that the person behind you can t see a thing there s not much you can do about it except slouch in your seat if this sounds like you then you re probably a tall girl remember that tall is beautiful and hey so is being short don t think that being tall means you have to be gangly awkward or unappealing plenty of beautiful women are tall and they know how to own their tall look by not shying away from attention don t think that being tall makes you somehow inadequate or unappealing to guys here are some tall female celebrities just to show you that you re not alone gwyneth paltrow 5 9 jordin sparks 5 9 charlize theron 5 10 taylor swift 5 10 famke janssen 6 and maria sharapova 6 2 3 x research source don t slouch you may think that slouching will make you look shorter and while this is literally true it will actually call more attention to the fact that you re not happy with your height so stand tall and proud and don t worry about towering over the people around you they should be the ones wishing they were as tall as you don t worry about being taller than the guys sure guys may be intimidated by you because you re so tall but that doesn t mean you can t talk to them or show them how awesome you are don t think that you have no chance with a guy just because he s shorter than you if you find a guy you like get to know him and you ll see that height is just a number remember that the grass is always greener on the other side you may be feeling miserable because you feel like you re taller than all of your friends and that all of your shorts are too short but your short friend may hate having to stand on her tip toes to talk to people or having to hem all of her jeans by half a foot so that they ll fit her you may not want to be tall but plenty of girls would die to be in your shoes whether you re tall or short it s all about embracing who you are instead of wishing you were someone else,Youth
how to make a difference as a christian youth,if you want to make a difference as a christian youth you should remember that it s not just about going to church or reading the bible although those things definitely matter you can make a difference by living a christian life every single day there are many ways you can give back and make a difference as a christian youth,be a good example for other youth as a christian youth you should lead by example that means following christian teachings everything you do in your life should reflect the goodness of god 1 x research source show positivity smile and do good works 2 x research source don t talk behind other people s backs be kind to all people including those who aren t popular love thy neighbor as thyself walk the walk don t just talk the talk be a leader don t participate or laugh at sinful subjects just walk away but also try to get people to stop doing it if you see bullying occurring intervene be the one person at your school that doesn t tolerate cussing or gossip don t drink smoke party cheat on tests gossip or engage in other negative behaviors be someone who spends friday night on their knees in prayer rather than at a party getting wasted be patient and kind if people can t tell you re a christian by your actions and words you re doing it wrong you need to live every single day with the right attitude love others and be willing to help them even at cost to yourself 3 x research source this is a fundamental commandment that jesus gave during his time on earth to love others as you love yourself is so important don t let ego and status stop you from treating others as you would your own brothers and sisters don t be close minded love all people of all religions races sexual orientations and beliefs don t swear or speak about inappropriate things or make intolerant statements you can t make a positive difference if you are cursing or making dirty jokes be respectful honorable and pure set an example of christianity every day at work or school or both be humble kind patient and respectful when engaging with non christians reach out to people who are shunned by others jesus showed love to people who were treated negatively by others or regarded lowly by society never give up on someone and especially never give up on god in the good times and the bad you will encounter islands in school and other settings this means there are people who only hang out with certain people because they don t know anyone else and won t make an effort to know anyone else it is something everyone does you need to step up and be a bridge which means stepping out of your comfort zone you can sit with someone who sits alone at lunch and just be a friend or you could lend a listening ear to them building a personal relationship is a great first step to leading someone to christ a subtle but effective way to spread faith is to plant seeds and allow the holy spirit to take root within others you have the relationships with the people around you already and you can be the one who encourages them offers prayers and lives out the bible so as to be an example of god s love and grace treat everyone as an equal whatever their status in life or profession remember that all people are god s creation and deserve a chance to be understood be able to take rejection or loss with grace you should be happy to do the good deeds you do however it can be more challenging to show a positive attitude when you are rejected or otherwise face negativity in your life when confronted about your beliefs don t freak out remember that everyone has a different story as to how they became a christian whether it was a dramatic conversion or they just grew up in it but no matter how you became a christian it s your firsthand account tell people why you believe what you believe even if they ridicule you for it 4 x research source turn the other cheek if someone is rude to you or cruel show them forgiveness and love forgiveness is a christian trait we are all born sinners and we all struggle and we all fall at times don t let that discourage you if someone s hurt you find a way to forgive when you fall forgive yourself too and pick yourself back up and try again what matters to god is how many times you stand up strive to grow in a positive way you are unique you have your own gifts talents strengths weaknesses likes and dislikes grow the positive aspects of your personality keep studying your faith continue to study and learn about your faith as you get older know that even adults still work on the tough questions come to youth group with a heart that wants to learn people will notice a change in your group start answering questions and step out of your comfort zone once you step out of your comfort zone others will start to step out of theirs 5 x research source spouting verse is all well and good but understanding the deeper meaning behind it all how it fits into the entire narrative of the bible is more important you can say god so loved the world that he sent his only begotten son john 3 16 but until you can show that same love to others it s difficult for others to see the positive change caused by your faith read the bible you could try to read a scripture a day god s word is vital to a christian life because it provides guidelines you could also listen to podcasts or watch youtube videos on your faith ask questions you won t know everything there are many christians who have studied faith for their whole lives but they still don t know everything keep in mind that historical context language translation context or meaning can matter when reading christian teachings seek out older religious teachers and show them great respect such as a pastor or priest or a sunday school teacher ask them to help you learn more about your faith make sure that you keep involved in a bible study preferably involving kids your age this is much more effective in helping you learn and relate to the bible than attending only traditional worship services pray as often as you can and go to church you can simply start off by saying god i do not know what to do but i have this desire in my heart to make a difference god doesn t care what you say to him he just loves to listen to you 6 x research source you could start a prayer journal so that you can remember what you prayed for and then see how god has answered your prayers don t forget to pray for others too not just for yourself you should attend church as much as you can and ask your parents if they can drive you try memorizing some important prayers and saying them before you go to bed and every meal just take time out of your day to relax and think about god what are you thankful for and what you did wrong and could improve ask god what to do through prayer god knows all your abilities strengths and weaknesses and he knows what s right for you to do to make a difference don t let your age or comfort zones get in the way of doing what god calls you to do lead a fundraiser to help someone in need maybe you start out by collecting spare change or donating your allowance find a worthy cause and help collect donations for it or just give whatever money you have to a good cause 7 x research source you could use an online donation site you can also help by joining or helping a cause that revolves around helping people know about god and his word there are many organizations that cater to the needs of less fortunate people all across the world as well as teach them about christ perhaps you do car washes or lemonade stands sell your old books it s not necessarily how much you donate that counts it s the fact you re giving most or all of what you have that matters join a youth group or mission this is another way that you can give back by getting involved with group activities associated with your church try to get involved in your local church s mission trips whether they are around the world national or local if your church does not have these types of trips you could bring the idea to the congregation 8 x research source try tithing giving 10 of your money to your church or donating some of the stuff you don t use anymore inviting your friends to church or youth group are great ideas too don t treat youth group like school and don t act like it bores you dedicate yourself to god and show this by always staying happy and cheerful and giving what you can to the group you could also start join a christian club at your school if it s allowed remember that a mission doesn t have to be across an ocean you could go on a mission trip to a local college or high school and help out staff with some church friends and talk about jesus to anyone willing to listen be open about your faith and principles at times this might be very difficult you might feel like the only christian youth around who is open about faith stand your ground actively develop your relationship with christ get out and interact with people and develop relationships christian youth are ambassadors not secret agents in order to change people s hearts you first need to interact with them be as outward as possible about your faith you could wear shirts that spark conversations stand up for and voice your moral beliefs you can do this in a way that sounds positive not negative be willing to stand up for what you believe in be a witness to what god has done for you as a christian a lot of young people have some little or absolutely no faith in god whatsoever by being walking proof about what the word has to offer you are making a difference somewhere give back by volunteering your time you could help the homeless take care of an elderly or disabled person or work at an animal shelter help at your church school and in your home too you can also give back in smaller ways by simply being a positive force in your environment help classmates with schoolwork out of class for example you can organize park cleanups or volunteer for blood drives help your church basically just volunteer to help your church it could be something as simple as holding the door for people visiting your church you could offer to clean up after the services share your faith if you think it will help others this doesn t mean that you try to push your beliefs on others however if someone asks you about what keeps you strong in all you do gently tell them you believe in god and you put all your worries fears pain onto god so that you can help others with theirs also don t be afraid to share your testimony talk to your youth minister pastor about opportunities to share your story and where you can help within the church the important thing to remember is that simply letting people know you are a christian can sometimes be enough as long as you are happy and friendly and don t force anything down anyone s throat it s a good idea to let more people know that god has their back if you perceive that a person is struggling and receptive to the message however understand that being a christian is not about beating out other religions christianity is a peaceful and loving religion learn to love the people around you for who they are and that you cannot change them by shoving a bible down their throat if you want to show how christianity has made you a better person be kind to those around you regardless of their beliefs,Youth
